Name on Bag,Site.Code,date,time,Lat,Lon,Lat-deg,Lat-min,Lat-decdeg,Lon-deg,Lon-min,Lon-decdeg,lat lon string,Elev (ft)
WS01-3,HJA-2016_soil_01,2016-08-17,9:41,N 44° 12.380',W 122° 15.373',44,12.38,44.20633333,122,15.373,-122.2562167,44.2063333333333-122.256216666667,1431
WS01-4,HJA-2016_soil_18,2016-08-17,9:46,N 44° 12.375',W 122° 15.347',44,12.375,44.20625,122,15.347,-122.2557833,44.20625-122.255783333333,1648
WS01-5,HJA-2016_soil_03,2016-08-17,9:59,N 44° 12.344',W 122° 15.263',44,12.344,44.20573333,122,15.263,-122.2543833,44.2057333333333-122.254383333333,1528
WS03-1-30m,HJA-2016_soil_04,2016-08-17,10:30,,,,,0,,,0,0,
Kerry Creek,HJA-2016_soil_05,2016-08-17,10:43,N 44° 13.214',W 122° 13.401',44,13.214,44.22023333,122,13.401,-122.22335,44.2202333333333-122.22335,2411
Old Growth Trail Lower Elevation,HJA-2016_soil_06,2016-08-17,11:24,N 44° 13.911',W 122° 09.742',44,13.911,44.23185,122,9.742,-122.1623667,44.23185-122.162366666667,2528
Cold Creek,HJA-2016_soil_07,2016-08-17,11:37,N 44° 13.772',W 122° 07.446',44,13.772,44.22953333,122,7.446,-122.1241,44.2295333333333-122.1241,3202
Old Growth Trail Higher Elevation,HJA-2016_soil_08,2016-08-17,11:49,N 44° 13.377',W 122° 06.972',44,13.377,44.22295,122,6.972,-122.1162,44.22295-122.1162,3476
Lookout Headwaters,HJA-2016_soil_09,2016-08-17,12:01,N 44° 12.449',W 122° 07.033',44,12.449,44.20748333,122,7.033,-122.1172167,44.2074833333333-122.117216666667,4024
Carpenter #1,HJA-2016_soil_10,2016-08-17,12:55,N 44° 16.601',W 122° 08.174',44,16.601,44.27668333,122,8.174,-122.1362333,44.2766833333333-122.136233333333,4441
Carpenter #2,HJA-2016_soil_11,2016-08-17,13:02,N 44° 16.620',W 122° 08.208',44,16.62,44.277,122,8.208,-122.1368,44.277-122.1368,4467
350@357,HJA-2016_soil_12,2016-08-17,13:34,N 44° 15.093',W 122° 09.300',44,15.093,44.25155,122,9.3,-122.155,44.25155-122.155,3774
Site #45,HJA-2016_soil_13,2016-08-17,14:00,N 44° 13.867',W 122° 10.426',44,13.867,44.23111667,122,10.426,-122.1737667,44.2311166666667-122.173766666667,2363
Site #68,HJA-2016_soil_14,2016-08-17,14:05,N 44° 13.924',W 122° 11.012',44,13.924,44.23206667,122,11.012,-122.1835333,44.2320666666667-122.183533333333,2102
Site #84,HJA-2016_soil_19,2016-08-17,14:44,N 44° 15.362',W 122° 10.088',44,15.362,44.25603333,122,10.088,-122.1681333,44.2560333333333-122.168133333333,2917
Bedrock-Lookout,HJA-2016_soil_16,2016-08-17,15:43,N 44° 13.362',W 122° 14.467',44,13.362,44.2227,122,14.467,-122.2411167,44.2227-122.241116666667,1556
Lookout-Outlet,HJA-2016_soil_17,2016-08-17,16:22,N 44° 12.314',W 122° 15.672',44,12.314,44.20523333,122,15.672,-122.2612,44.2052333333333-122.2612,1344
Lookout Bridge,HJA-2016_soil_20,2016-08-17,,,,,,,,,,,
