"issue_type","site_code","detail"
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","CC-1","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","KC-2","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","KC-4","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","WS1-7","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","WS1-4","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","WS3-6","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","55","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","71","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","73","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","76","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","83","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","160","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","162","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","164","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","178","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE","192","Retained in the 60-site FT-ICR table; excluded from the paired sediment table."
"SEDIMENT_SEQUENCE_WITHOUT_FTICR_SITE","43","Retained in microbial-only analyses; excluded from the paired sediment table."
"SOIL_SAMPLE_WITH_UNRESOLVED_LOCATION","hja2016_200","Retained as a regional soil source-pool sample with unresolved location."
