"source_file","source_sample_type","source_column","analysis_column","predictor_block","units","recommended_transformation","primary_44_site","notes"
"data/hja-env_data_clean.csv","Stream","Stream_Centerline_UTM_Zone_10N_X_m","site_utm_x_m","landscape","m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Stream_Centerline_UTM_Zone_10N_Y_m","site_utm_y_m","landscape","m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Segment_Number","site_segment_number","landscape","","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Drainage_area_ha","site_drainage_area_ha","landscape","ha","log10",TRUE,""
"data/hja-env_data_clean.csv","Stream","Valley_Slope_m/m","site_valley_slope_m_m","landscape","m/m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Stream_Slope_m/m","site_stream_slope_m_m","landscape","m/m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Valley_Width_m","site_valley_width_m","landscape","m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Segment_Valley_Avg_Slope_m/m","site_segment_valley_avg_slope_m_m","landscape","m/m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Segment_Stream_Avg_Slope_m/m","site_segment_stream_avg_slope_m_m","landscape","m/m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Segment_Valley_Avg_Width_m","site_segment_valley_avg_width_m","landscape","m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Stream_Order","site_stream_order","landscape","ordinal","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Segment_Sinuosity_m/m","site_segment_sinuosity_m_m","landscape","m/m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Valley_Distance_to_outlet_m","site_distance_to_outlet_m","landscape","m","log10",TRUE,""
"data/hja-env_data_clean.csv","Sediment","geometric_Mean_Hydaulic_Conductivity_m/s","sediment_hydraulic_conductivity_geomean_m_s","hydrology","m/s","log10",TRUE,""
"data/hja-env_data_clean.csv","Sediment","Piezo_depth_below_streambed_(to_top)_m","sediment_piezometer_depth_top_m","hydrology","m","none",TRUE,""
"data/hja-env_data_clean.csv","Sediment","Piezo_depth_below_streambed_(to_bottom)_m","sediment_piezometer_depth_bottom_m","hydrology","m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Channel_width","site_channel_width_m","hydrology","m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Channel_depth_m","site_channel_depth_m","hydrology","m","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Tracer_Downstream_discahrge_m3/s","site_discharge_downstream_m3_s","hydrology","m3/s","log10",FALSE,"Reduced sensitivity subset."
"data/hja-env_data_clean.csv","Stream","Tracer_Upstream_discharge_m3/s","site_discharge_upstream_m3_s","hydrology","m3/s","log10",FALSE,"Reduced sensitivity subset."
"data/hja-env_data_clean.csv","Stream","Peak_travel_time_hr","site_peak_travel_time_hr","hydrology","hr","log10",FALSE,""
"data/hja-env_data_clean.csv","Stream","Velocity_m/s","site_velocity_m_s","hydrology","m/s","log10",FALSE,""
"data/hja-env_data_clean.csv","Stream","Water_Temp_arrival_deg_C","surface_water_temperature_c","surface_water","deg C","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","DO_arrival_mg/L","surface_do_mg_l","surface_water","mg/L","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","DO_arrival_perc_sat","surface_do_percent_saturation","surface_water","%","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","NPOC_mg/L","surface_npoc_mg_l","surface_dom","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Stream","SUVA254","surface_suva254","surface_dom","","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","Spectral_Slope_Ratio","surface_spectral_slope_ratio","surface_dom","","none",TRUE,""
"data/hja-env_data_clean.csv","Stream","TDN_mg/L","surface_tdn_mg_l","surface_nutrients","mg/L","log10",TRUE,""
"data/hja-env_data_clean.csv","Stream","Integrated_Absorbance_300-400_nm_1/m","surface_integrated_absorbance_300_400_1_m","surface_dom","1/m","log10",TRUE,""
"data/hja-env_data_clean.csv","Stream","Decadic_Absorbance_at_254_nm_1/m","surface_absorbance_254_1_m","surface_dom","1/m","log10",TRUE,""
"data/hja-env_data_clean.csv","Stream","Decadic_Absorbance_at_300_nm_1/m","surface_absorbance_300_1_m","surface_dom","1/m","log10",TRUE,""
