"source_workbook_column","source_header","column_role","derived_identifier","included_in_ecological_matrix","mapping_rule"
1,"Measured Ionic Mass (m/z)","molecular_metadata","measured_mz",FALSE,"declared position in config.R"
2,"C","molecular_metadata","carbon_count",FALSE,"declared position in config.R"
3,"H","molecular_metadata","hydrogen_count",FALSE,"declared position in config.R"
4,"O","molecular_metadata","oxygen_count",FALSE,"declared position in config.R"
5,"N","molecular_metadata","nitrogen_count",FALSE,"declared position in config.R"
6,"C13","molecular_metadata","c13_indicator",FALSE,"declared position in config.R"
7,"S","molecular_metadata","sulfur_count",FALSE,"declared position in config.R"
8,"P","molecular_metadata","phosphorus_count",FALSE,"declared position in config.R"
9,"Na","molecular_metadata","sodium_count",FALSE,"declared position in config.R"
10,"El_comp","molecular_metadata","elemental_composition_source",FALSE,"declared position in config.R"
11,"Class","molecular_metadata","molecular_class_source",FALSE,"declared position in config.R"
12,"NeutralMass","molecular_metadata","neutral_mass",FALSE,"declared position in config.R"
13,"Error_ppm","molecular_metadata","mass_error_ppm",FALSE,"declared position in config.R"
14,"Candidates","molecular_metadata","candidate_count",FALSE,"declared position in config.R"
15,"CC-1","site_intensity","CC-1",TRUE,"exact source header to site_code"
16,"CC-4","site_intensity","CC-4",TRUE,"exact source header to site_code"
17,"CC-3","site_intensity","CC-3",TRUE,"exact source header to site_code"
18,"CC-2","site_intensity","CC-2",TRUE,"exact source header to site_code"
19,"KC-2","site_intensity","KC-2",TRUE,"exact source header to site_code"
20,"WS1-6","site_intensity","WS1-6",TRUE,"exact source header to site_code"
21,"KC-4","site_intensity","KC-4",TRUE,"exact source header to site_code"
22,"KC-1","site_intensity","KC-1",TRUE,"exact source header to site_code"
23,"KC-3","site_intensity","KC-3",TRUE,"exact source header to site_code"
24,"WS1-2","site_intensity","WS1-2",TRUE,"exact source header to site_code"
25,"WS1-3","site_intensity","WS1-3",TRUE,"exact source header to site_code"
26,"WS1-7","site_intensity","WS1-7",TRUE,"exact source header to site_code"
27,"WS1-8","site_intensity","WS1-8",TRUE,"exact source header to site_code"
28,"WS1-5","site_intensity","WS1-5",TRUE,"exact source header to site_code"
29,"WS1-4","site_intensity","WS1-4",TRUE,"exact source header to site_code"
30,"WS3-1","site_intensity","WS3-1",TRUE,"exact source header to site_code"
31,"WS3-2","site_intensity","WS3-2",TRUE,"exact source header to site_code"
32,"WS3-3","site_intensity","WS3-3",TRUE,"exact source header to site_code"
33,"WS3-4","site_intensity","WS3-4",TRUE,"exact source header to site_code"
34,"WS3-5","site_intensity","WS3-5",TRUE,"exact source header to site_code"
35,"WS3-6","site_intensity","WS3-6",TRUE,"exact source header to site_code"
36,"45","site_intensity","45",TRUE,"exact source header to site_code"
37,"47","site_intensity","47",TRUE,"exact source header to site_code"
38,"49","site_intensity","49",TRUE,"exact source header to site_code"
39,"50","site_intensity","50",TRUE,"exact source header to site_code"
40,"53","site_intensity","53",TRUE,"exact source header to site_code"
41,"54","site_intensity","54",TRUE,"exact source header to site_code"
42,"55","site_intensity","55",TRUE,"exact source header to site_code"
43,"56","site_intensity","56",TRUE,"exact source header to site_code"
44,"57","site_intensity","57",TRUE,"exact source header to site_code"
45,"58","site_intensity","58",TRUE,"exact source header to site_code"
46,"60","site_intensity","60",TRUE,"exact source header to site_code"
47,"64","site_intensity","64",TRUE,"exact source header to site_code"
48,"65","site_intensity","65",TRUE,"exact source header to site_code"
49,"66","site_intensity","66",TRUE,"exact source header to site_code"
50,"68","site_intensity","68",TRUE,"exact source header to site_code"
51,"71","site_intensity","71",TRUE,"exact source header to site_code"
52,"72","site_intensity","72",TRUE,"exact source header to site_code"
53,"73","site_intensity","73",TRUE,"exact source header to site_code"
54,"74","site_intensity","74",TRUE,"exact source header to site_code"
55,"76","site_intensity","76",TRUE,"exact source header to site_code"
56,"82","site_intensity","82",TRUE,"exact source header to site_code"
57,"83","site_intensity","83",TRUE,"exact source header to site_code"
58,"84","site_intensity","84",TRUE,"exact source header to site_code"
59,"155","site_intensity","155",TRUE,"exact source header to site_code"
60,"156","site_intensity","156",TRUE,"exact source header to site_code"
61,"160","site_intensity","160",TRUE,"exact source header to site_code"
62,"161","site_intensity","161",TRUE,"exact source header to site_code"
63,"162","site_intensity","162",TRUE,"exact source header to site_code"
64,"163","site_intensity","163",TRUE,"exact source header to site_code"
65,"164","site_intensity","164",TRUE,"exact source header to site_code"
66,"165","site_intensity","165",TRUE,"exact source header to site_code"
67,"169","site_intensity","169",TRUE,"exact source header to site_code"
68,"170","site_intensity","170",TRUE,"exact source header to site_code"
69,"177","site_intensity","177",TRUE,"exact source header to site_code"
70,"178","site_intensity","178",TRUE,"exact source header to site_code"
71,"190","site_intensity","190",TRUE,"exact source header to site_code"
72,"192","site_intensity","192",TRUE,"exact source header to site_code"
73,"260","site_intensity","260",TRUE,"exact source header to site_code"
74,"360","site_intensity","360",TRUE,"exact source header to site_code"
75,"LAB QC","lab_standard","LAB_QC_1",FALSE,"declared position in config.R"
76,"LAB QC","lab_standard","LAB_QC_2",FALSE,"declared position in config.R"
