"site_code","detected_raw_features","total_raw_intensity","detected_primary_features","total_primary_intensity"
"CC-1",3376,16368872879.4996,1535,8186612019.20006
"CC-4",4148,20968985891.0995,2095,13011021821.4999
"CC-3",4847,42076537170.5015,2426,25809017091.9997
"CC-2",5009,27371695796.1992,2529,16842826570.4997
"KC-2",3310,16739426799.9996,1416,7314588661.90006
"WS1-6",3554,19939962585.7997,1496,7262036031.10004
"KC-4",3136,15987230750.4997,1293,6488026157.80006
"KC-1",3242,21217260945.1996,1343,9056332005.79999
"KC-3",2924,14030629699.1997,1109,5510466793.00004
"WS1-2",2745,13169135953.7998,1305,5908819720.90005
"WS1-3",2787,14146083406.1997,1145,6939156087.10004
"WS1-7",3464,16580592033.4996,1633,8359147717.50006
"WS1-8",2915,12601743600.0998,1362,5977536564.70006
"WS1-5",3427,17195273639.3997,1606,8311041186.70005
"WS1-4",3135,15697737396.4996,1464,7580195183.30006
"WS3-1",3859,23046278505.2995,1835,12956458721.3998
"WS3-2",2938,14080399496.2997,1246,6635618221.10006
"WS3-3",4401,24212632187.6994,2168,13681122218.0997
"WS3-4",4875,36516715246.8003,2334,19982864782.4997
"WS3-5",1818,7800183677.20005,684,2857267197.20001
"WS3-6",3967,20587744641.1996,1961,10950492176.9999
"45",3239,16372594335.1996,1385,7676373310.70006
"47",2785,14366280804.8997,1226,6207973228.90004
"49",3497,18232628209.9996,1609,9136060050.4
"50",2255,9332108295.30001,902,3749604204.90003
"53",3882,20880031826.9995,1849,10572475111.7999
"54",3006,14983951463.0997,1299,6714525608.30006
"55",2232,12079577220.7999,768,3979118327.50002
"56",1828,8115559786.80006,617,2791930236.80001
"57",2744,13395713716.7998,1276,6048974744.80006
"58",3370,16666070217.3996,1530,8613366631.90004
"60",3559,20377630251.5995,1588,10484891697.3999
"64",5227,31165824758.6992,2638,18323842564.3997
"65",3449,22726017795.8996,1529,11704847806.9999
"66",2534,11784457425.5999,1060,4965345467.30004
"68",2835,14512261387.9998,1137,4981008111.40004
"71",2511,10901688531.6999,995,4337910334.50003
"72",3101,15099193868.8997,1423,6908626009.70005
"73",3994,20853762561.1995,1958,12446263273.8999
"74",2858,15857091534.6997,1005,5436422736.40004
"76",4719,25412844510.2994,2349,16678556010.1998
"82",2569,12860629725.5998,1092,5538720196.30004
"83",3605,20774063881.6996,1689,10378035336.2999
"84",3503,22252717333.8996,1534,8849942277.10001
"155",2828,13214625098.2998,1302,6101292358.90004
"156",2172,9251746468.40003,876,3501940458.80002
"160",3415,17089691366.3996,1576,8423462573.00006
"161",1622,6531754636.70005,632,2570964383.80001
"162",3284,15436829743.9997,1574,8029029623.80006
"163",1862,8935669842.90003,596,2431596155
"164",4491,27963571730.0993,2187,14851804691.7998
"165",1429,7434048912.10005,391,1737245656.1
"169",4081,20422493758.6995,2104,12266896442.7999
"170",4412,29183137947.2994,2301,17854609712.3997
"177",3809,26156020257.0995,1769,13590793033.1998
"178",4384,29349626842.5994,1998,15081109908.5998
"190",3185,15254556005.4997,1478,7285344977.40007
"192",3481,17126816900.4996,1678,8690502106.60005
"260",3088,15359310887.7997,1445,7708250116.40006
"360",3934,23582938431.1995,1718,12091889045.9999
