"row_number","site_code","sediment_sample_id","environment_site_code","asv_source_sample_id","asv_matrix_rowname","fticr_source_site_code","fticr_matrix_rowname","all_identifiers_aligned"
1,"CC-4","hja2016_141","CC-4","hja2016_141","CC-4","CC-4","CC-4",TRUE
2,"CC-3","hja2016_140","CC-3","hja2016_140","CC-3","CC-3","CC-3",TRUE
3,"CC-2","hja2016_139","CC-2","hja2016_139","CC-2","CC-2","CC-2",TRUE
4,"WS1-6","hja2016_180","WS1-6","hja2016_180","WS1-6","WS1-6","WS1-6",TRUE
5,"KC-1","hja2016_142","KC-1","hja2016_142","KC-1","KC-1","KC-1",TRUE
6,"KC-3","hja2016_144","KC-3","hja2016_144","KC-3","KC-3","KC-3",TRUE
7,"WS1-2","hja2016_176","WS1-2","hja2016_176","WS1-2","WS1-2","WS1-2",TRUE
8,"WS1-3","hja2016_177","WS1-3","hja2016_177","WS1-3","WS1-3","WS1-3",TRUE
9,"WS1-8","hja2016_174","WS1-8","hja2016_174","WS1-8","WS1-8","WS1-8",TRUE
10,"WS1-5","hja2016_179","WS1-5","hja2016_179","WS1-5","WS1-5","WS1-5",TRUE
11,"WS3-1","hja2016_167","WS3-1","hja2016_167","WS3-1","WS3-1","WS3-1",TRUE
12,"WS3-2","hja2016_169","WS3-2","hja2016_169","WS3-2","WS3-2","WS3-2",TRUE
13,"WS3-3","hja2016_170","WS3-3","hja2016_170","WS3-3","WS3-3","WS3-3",TRUE
14,"WS3-4","hja2016_168","WS3-4","hja2016_168","WS3-4","WS3-4","WS3-4",TRUE
15,"WS3-5","hja2016_171","WS3-5","hja2016_171","WS3-5","WS3-5","WS3-5",TRUE
16,"45","hja2016_122","45","hja2016_122","45","45","45",TRUE
17,"47","hja2016_158","47","hja2016_158","47","47","47",TRUE
18,"49","hja2016_159","49","hja2016_159","49","49","49",TRUE
19,"50","hja2016_160","50","hja2016_160","50","50","50",TRUE
20,"53","hja2016_150","53","hja2016_150","53","53","53",TRUE
21,"54","hja2016_123","54","hja2016_123","54","54","54",TRUE
22,"56","hja2016_125","56","hja2016_125","56","56","56",TRUE
23,"57","hja2016_166","57","hja2016_166","57","57","57",TRUE
24,"58","hja2016_126","58","hja2016_126","58","58","58",TRUE
25,"60","hja2016_127","60","hja2016_127","60","60","60",TRUE
26,"64","hja2016_151","64","hja2016_151","64","64","64",TRUE
27,"65","hja2016_161","65","hja2016_161","65","65","65",TRUE
28,"66","hja2016_152","66","hja2016_152","66","66","66",TRUE
29,"68","hja2016_128","68","hja2016_128","68","68","68",TRUE
30,"72","hja2016_129","72","hja2016_129","72","72","72",TRUE
31,"74","hja2016_131","74","hja2016_131","74","74","74",TRUE
32,"82","hja2016_155","82","hja2016_155","82","82","82",TRUE
33,"84","hja2016_132","84","hja2016_132","84","84","84",TRUE
34,"155","hja2016_145","155","hja2016_145","155","155","155",TRUE
35,"156","hja2016_146","156","hja2016_146","156","156","156",TRUE
36,"161","hja2016_133","161","hja2016_133","161","161","161",TRUE
37,"163","hja2016_147","163","hja2016_147","163","163","163",TRUE
38,"165","hja2016_148","165","hja2016_148","165","165","165",TRUE
39,"169","hja2016_135","169","hja2016_135","169","169","169",TRUE
40,"170","hja2016_149","170","hja2016_149","170","170","170",TRUE
41,"177","hja2016_181","177","hja2016_181","177","177","177",TRUE
42,"190","hja2016_136","190","hja2016_136","190","190","190",TRUE
43,"260","hja2016_164","260","hja2016_164","260","260","260",TRUE
44,"360","hja2016_165","360","hja2016_165","360","360","360",TRUE
