"fticr_source_column","site_code","sediment_sample_id","planktonic_sample_id","hyporheic_sample_id","stream_master_row","hyporheic_master_row","sediment_master_row","has_sediment_sequence","has_planktonic_sequence","has_hyporheic_sequence","has_all_master_rows","include_sediment_multiblock","mapping_status"
15,"CC-1",,,"hja2016_078",43,105,167,FALSE,FALSE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
16,"CC-4","hja2016_141",,,46,108,170,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
17,"CC-3","hja2016_140",,,45,107,169,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
18,"CC-2","hja2016_139",,,44,106,168,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
19,"KC-2",,"hja2016_059","hja2016_043",48,110,172,FALSE,TRUE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
20,"WS1-6","hja2016_180","hja2016_011","hja2016_014",55,117,179,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
21,"KC-4",,,,50,112,174,FALSE,FALSE,FALSE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
22,"KC-1","hja2016_142",,"hja2016_056",47,109,171,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
23,"KC-3","hja2016_144",,,49,111,173,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
24,"WS1-2","hja2016_176",,"hja2016_020",51,113,175,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
25,"WS1-3","hja2016_177",,,52,114,176,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
26,"WS1-7",,,"hja2016_003",56,118,180,FALSE,FALSE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
27,"WS1-8","hja2016_174",,,57,119,181,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
28,"WS1-5","hja2016_179","hja2016_114","hja2016_018",54,116,178,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
29,"WS1-4",,"hja2016_013",,53,115,177,FALSE,TRUE,FALSE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
30,"WS3-1","hja2016_167","hja2016_002","hja2016_008",58,120,182,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
31,"WS3-2","hja2016_169",,,59,121,183,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
32,"WS3-3","hja2016_170",,"hja2016_062",60,122,184,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
33,"WS3-4","hja2016_168","hja2016_064",,61,123,185,TRUE,TRUE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
34,"WS3-5","hja2016_171",,,62,124,186,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
35,"WS3-6",,"hja2016_027",,63,125,187,FALSE,TRUE,FALSE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
36,"45","hja2016_122",,,3,65,127,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
37,"47","hja2016_158",,"hja2016_015",4,66,128,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
38,"49","hja2016_159",,"hja2016_066",5,67,129,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
39,"50","hja2016_160","hja2016_001","hja2016_005",6,68,130,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
40,"53","hja2016_150","hja2016_116",,7,69,131,TRUE,TRUE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
41,"54","hja2016_123",,"hja2016_032",8,70,132,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
42,"55",,,,9,71,133,FALSE,FALSE,FALSE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
43,"56","hja2016_125","hja2016_119","hja2016_070",10,72,134,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
44,"57","hja2016_166",,"hja2016_107",11,73,135,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
45,"58","hja2016_126","hja2016_101",,12,74,136,TRUE,TRUE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
46,"60","hja2016_127",,"hja2016_009",13,75,137,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
47,"64","hja2016_151","hja2016_100","hja2016_079",14,76,138,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
48,"65","hja2016_161",,,15,77,139,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
49,"66","hja2016_152",,,16,78,140,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
50,"68","hja2016_128",,"hja2016_065",18,80,142,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
51,"71",,,"hja2016_057",19,81,143,FALSE,FALSE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
52,"72","hja2016_129",,,20,82,144,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
53,"73",,,"hja2016_102",21,83,145,FALSE,FALSE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
54,"74","hja2016_131",,"hja2016_016",22,84,146,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
55,"76",,,"hja2016_110",23,85,147,FALSE,FALSE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
56,"82","hja2016_155",,,24,86,148,TRUE,FALSE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
57,"83",,,,25,87,149,FALSE,FALSE,FALSE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
58,"84","hja2016_132",,"hja2016_121",26,88,150,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
59,"155","hja2016_145",,"hja2016_019",27,89,151,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
60,"156","hja2016_146","hja2016_044","hja2016_021",28,90,152,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
61,"160",,"hja2016_111","hja2016_081",29,91,153,FALSE,TRUE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
62,"161","hja2016_133",,"hja2016_031",30,92,154,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
63,"162",,"hja2016_099",,31,93,155,FALSE,TRUE,FALSE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
64,"163","hja2016_147",,"hja2016_052",32,94,156,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
65,"164",,"hja2016_010","hja2016_071",33,95,157,FALSE,TRUE,TRUE,TRUE,FALSE,"FTICR_SITE_WITHOUT_SEDIMENT_SEQUENCE"
66,"165","hja2016_148","hja2016_042","hja2016_050",34,96,158,TRUE,TRUE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
67,"169","hja2016_135","hja2016_109",,35,97,159,TRUE,TRUE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
68,"170","hja2016_149","hja2016_106",,36,98,160,TRUE,TRUE,FALSE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
69,"177","hja2016_181",,"hja2016_084",37,99,161,TRUE,FALSE,TRUE,TRUE,TRUE,"MATCHED_SEDIMENT_FTICR_ENVIRONMENT"
