"site_code","fticr_source_column","sediment_sample_id","planktonic_sample_id","hyporheic_sample_id","stream_master_row","hyporheic_master_row","sediment_master_row","include_sediment_multiblock","site_utm_x_m","site_utm_y_m","site_segment_number","site_drainage_area_ha","site_valley_slope_m_m","site_stream_slope_m_m","site_valley_width_m","site_segment_valley_avg_slope_m_m","site_segment_stream_avg_slope_m_m","site_segment_valley_avg_width_m","site_stream_order","site_segment_sinuosity_m_m","site_distance_to_outlet_m","sediment_hydraulic_conductivity_geomean_m_s","sediment_piezometer_depth_top_m","sediment_piezometer_depth_bottom_m","site_channel_width_m","site_channel_depth_m","site_discharge_downstream_m3_s","site_discharge_upstream_m3_s","site_peak_travel_time_hr","site_velocity_m_s","surface_water_temperature_c","surface_do_mg_l","surface_do_percent_saturation","surface_npoc_mg_l","surface_suva254","surface_spectral_slope_ratio","surface_tdn_mg_l","surface_integrated_absorbance_300_400_1_m","surface_absorbance_254_1_m","surface_absorbance_300_1_m","surface_absorbance_340_1_m","surface_absorbance_380_1_m","surface_spectral_slope_ratio_275_295_to_300_350","surface_integrated_fluorescence_ru","surface_eem_peak_a_ru","surface_eem_peak_c_ru","surface_eem_peak_t_ru","surface_fluorescence_index","surface_chloride_mg_l","surface_sulfate_mg_l","surface_sodium_mg_l","surface_potassium_mg_l","surface_magnesium_mg_l","surface_calcium_mg_l","surface_po4_mg_l","surface_no2_no3_mg_l_as_no3","surface_nh3_mg_l_as_nh3","hyporheic_water_temperature_c","hyporheic_do_mg_l","hyporheic_do_percent_saturation","hyporheic_npoc_mg_l","hyporheic_suva254","hyporheic_spectral_slope_ratio","hyporheic_tdn_mg_l","hyporheic_integrated_absorbance_300_400_1_m","hyporheic_absorbance_254_1_m","hyporheic_eem_peak_a_ru","hyporheic_eem_peak_c_ru","hyporheic_eem_peak_t_ru","hyporheic_fluorescence_index","hyporheic_chloride_mg_l","hyporheic_sulfate_mg_l","hyporheic_sodium_mg_l","hyporheic_potassium_mg_l","hyporheic_magnesium_mg_l","hyporheic_calcium_mg_l","hyporheic_po4_mg_l","hyporheic_no2_no3_mg_l_as_no3","hyporheic_nh3_mg_l_as_nh3","sediment_organic_content_percent","sediment_organic_content_duplicate_percent","sediment_nag_umol_g_hr","sediment_lap_umol_g_hr","sediment_glu_umol_g_hr","sediment_ap_umol_g_hr","sediment_nag_duplicate_umol_g_hr","sediment_lap_duplicate_umol_g_hr","sediment_glu_duplicate_umol_g_hr","sediment_ap_duplicate_umol_g_hr","sediment_d10_um","sediment_d50_um","sediment_d90_um","sediment_gravel_percent","sediment_sand_percent","sediment_mud_percent"
"CC-1",15,,,"hja2016_078",43,105,167,FALSE,569956.016680872,4897740.75332909,183,64,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572,0.000131,0.66,0.81,3.24,0.109,0.053162319,0.061664849,0.07138889,0.266,8.3,10.87,92.5,2.164,1.006290176,1.324152578,0.06247,81.118624516,1.757845559,0.736803417,0.83195196,0.427532814,1.308684626,849.65486697,0.061584091,0.026729933,0.188551384,1.114517491,1.17,0.85,2.3101,1.4619,1.8959,5.486,0.07,0.06,0.06,10.8,10.74,97.1,1.685,1.05968673,1.119200496,0.03695,68.871892447,1.60073034,0.060106181,0.025500648,0.068280745,1.607983991,0.94,0.85,2.2364,1.4106,1.9052,5.5091,0.06,0.07,0.06,4.9,,0.00327,0.24856,0.03735,0.05853,,,,,63659.94562,74250.63129,86603.21956,0.994605798,0.005394202,0
"CC-4",16,"hja2016_141",,,46,108,170,TRUE,570162.007583724,4897831.74931045,183,58.5,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572,9.08e-06,0.66,0.81,7.07,0.202,0.056648165,0.054225795,0.093611112,0.169,9.6,10.43,91.5,1.087,2.460558294,1.836236847,0.02196,93.023630701,2.097523546,0.835160246,0.967327189,0.478635605,1.350505074,794.903229739,0.078653699,0.035518646,0.083159109,1.469328396,1.38,0.9,2.2602,1.4643,1.908,5.5803,0.06,0.06,0.04,12.3,10.22,95.5,1.743,1.266473142,2.004073407,0.03567,71.067317795,1.757533232,0.065882183,0.024418333,0.065883932,1.148382601,1.01,0.85,2.2655,1.4757,1.8732,5.4396,0.07,0.04,0.06,7.501,,0.00923,0.44178,0.09119,0.10884,,,,,30283.97341,73727.97701,86480.95385,0.992192133,0.007807867,0
"CC-3",17,"hja2016_140",,,45,107,169,TRUE,570038.013059678,4897795.75090024,183,63,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572,4.13e-05,0.66,0.81,6.33,0.1,0.056398572,0.056910503,0.053402779,0.223,9.2,10.58,92.2,1.714,1.415617362,1.545366937,0.01987,79.525910212,2.075387554,0.691076105,0.810296319,0.410295525,1.428729953,590.644781775,0.050068194,0.024916364,0.097239104,1.446557694,1.1,0.73,2.2023,1.4104,1.852,5.4021,0.06,0.04,0.05,12.1,10.32,96,1.382,1.457977839,1.322146622,0.03505,147.613415727,2.075627336,0.062162685,0.025516767,0.083187292,1.428945115,1.15,1.05,1.9079,1.2955,1.5359,4.5325,0.07,0.05,0.07,5.427,,0.01186,0.66891,0.17607,0.11498,,,,,64283.41931,74653.75443,86697.05362,0.996003899,0.003996101,0
"CC-2",18,"hja2016_139",,,44,106,168,TRUE,569992.01509108,4897760.75244588,183,63.6,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572,0.000118,0.66,0.81,1.05,0.174,0.051296193,0.042137953,0.044166667,0.214,8.8,10.69,92.1,1.877,1.52354901,1.778603702,0.03006,75.188483742,2.215665357,0.664479711,0.768738834,0.39364492,1.392979931,563.137690914,0.042889167,0.023515026,0.08776696,1.434980923,0.95,0.89,2.1236,1.3396,1.8207,5.3491,0.07,0.08,0.03,12.7,9.19,86.7,1.595,1.118857125,1.000294013,0.03845,82.326799335,1.473371279,0.060211707,0.025601586,0.056634756,1.445837125,1.14,0.84,2.2159,1.3807,1.782,5.1414,0.06,0.04,0.07,4.973,,0.00576,0.36724,0.06108,0.10198,,,,,63712.17438,74284.4683,86611.11137,0.995006778,0.004993222,0
"KC-2",19,,"hja2016_059","hja2016_043",48,110,172,FALSE,561999.368069268,4896735.79771081,362,114.2,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458,0.000134,0.66,0.81,2.08,0.045,0.002126998,0.002608184,0.12277778,0.041,13.7,9.64,92.9,2.131,1.267010793,0.970686137,0,141.991215013,2.62670933,1.270770167,1.511390248,0.703162816,0.899329628,1053.9531408,0.110238036,0.051964293,0.057535244,1.421774592,1.61,1.15,2.2136,0.659,1.2498,3.9617,0.04,0.03,0.09,17.1,9.26,96.2,2.119,1.604530439,0.975677508,0,157.597310965,2.972793601,0.128352987,0.054760013,0.083700569,1.411291846,1.11,0.78,2.6305,0.7321,1.5134,4.6599,0.05,,,6.323,,0,0.10507,0.01392,0.04423,,,,,28405.55173,73323.39129,86385.83117,0.995268972,0.004731028,0
"WS1-6",20,"hja2016_180","hja2016_011","hja2016_014",55,117,179,TRUE,559631.472642313,4894993.87463913,522,82.7,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014,0.000186,0.62,0.77,0.7,0.102,,,,,14.8,7.86,77.4,1.721,2.100190506,1.037725175,0,219.969949027,3.476562644,1.850980462,2.313009778,1.283882809,1.14772757,1410.941535515,0.194252847,0.095085065,0.053824501,1.472483401,1.48,1.44,3.308176701,0.914889857,1.5318,5.4512,0.04,0,0.05,18.5,5.2,56.1,2.088,1.48467433,0.985892988,0,155.957126059,2.991174997,0.152105801,0.067348973,0.050980908,1.496820097,1.18,1.22,3.7302,0.4242,1.3476,7.0156,0.05,0.01,0.08,4.468,4.065,0,0.05436,0.01035,0.0203,0,0.09484,0.01995,0.03005,,,,,,
"KC-4",21,,,,50,112,174,FALSE,561995.368245912,4896630.80234771,362,113.7,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458,4.01e-05,0.66,0.81,2.2,0.051,0.002632898,0.002828525,0.143055554,0.05,13.6,9.21,88.6,1.542,1.815500965,1.012338864,0,160.960428464,2.836214947,1.355492335,1.705790864,0.888065285,1.095999975,957.922997788,0.107622466,0.050045515,0.064827406,1.384499795,1.22,0.65,2.864568967,1.217530935,1.9397,4.5317,0.03,0,0.03,16.2,8.97,91.3,1.814,1.764057332,0.971589366,0,167.625548595,2.772556347,0.113458215,0.048891537,0.074171338,1.450333026,1.1,0.8,2.6551,0.7368,1.5227,4.6344,0.03,0,0.06,5.984,,0.00286,0.07999,0.01342,0.10628,,,,,63991.42699,74465.17656,86653.20937,0.995595469,0.004404531,0
"KC-1",22,"hja2016_142",,"hja2016_056",47,109,171,TRUE,562012.367495176,4896802.79475203,362,114.7,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458,0.000118,0.66,0.81,1.43,0.037,0.002562848,0.00223628,0.141944446,0.029,13.8,9.6,92.7,1.817,1.501846847,0.953823645,0,153.642298526,2.522455605,1.359231212,1.635453615,0.767889323,0.908698231,1107.695928427,0.110729716,0.055994026,0.070692267,1.364405633,1.27,0.75,2.7388,0.7295,1.5725,4.9188,0.05,0,0.05,17.6,9.23,96.7,1.854,1.833872708,0.975677508,0,167.80858166,3.010292965,0.121416045,0.054919489,0.053977618,1.378555202,1.27,0.73,1.6787,0.5756,0.8918,2.8615,0.04,0,0.05,6.189,,0.00452,0.13394,0.03201,0.04792,,,,,,,,,,
"KC-3",23,"hja2016_144",,,49,111,173,TRUE,562000.368025107,4896680.80013966,362,114,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458,0.000274,0.66,0.81,1.25,0.125,0.00277068,0.043465598,0.043611112,0.073,13.6,9.49,91.3,2.022,1.639921067,1.178404658,0,173.132464711,3.454380891,1.437800117,1.821422926,0.992108343,1.285941323,1032.875749421,0.103910331,0.051276778,0.071171043,1.371213607,1.27,0.72,2.464,0.6848,1.4559,4.5423,,,,15.4,9.39,93.9,2.363,1.227253491,0.862990163,0,166.972453627,2.823154862,0.124335412,0.054591001,0.08730412,1.432544323,1.3,0.82,2.8063,0.7665,1.6267,5.0104,,0,0.06,5.552,,0,0.05897,0.00751,0.0286,,,,,27427.6002,73453.8108,86416.54004,0.99010291,0.00989709,0
"WS1-2",24,"hja2016_176",,"hja2016_020",51,113,175,TRUE,559354.484874886,4895103.86978142,522,93.6,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014,2.94e-05,0.66,0.81,1.21,0.197,,,,,14.3,7.8,76.2,1.209,2.01556321,1.152666605,0,129.285931111,2.346824444,1.114551112,1.359573612,0.710557822,1.186731871,1022.534688118,0.130358933,0.063115601,0.080991118,1.460555061,1.24,1.52,3.99252579,0.936731272,2.0244,7.5496,0.04,0,0.11,18.7,8.33,89.4,2.399,1.210081315,1.319775436,0.03941,117.337862913,2.43712262,0.132665566,0.059289438,0.066291419,1.507469438,1.56,1.62,3.518,0.3975,1.4352,7.0903,0.04,0.01,0.21,5.197,,0.00154,0.05325,0.01346,0.01718,,,,,26326.551,72547.47221,86202.22278,0.997602978,0.002397022,0
