"site_code","sediment_sample_id","sediment_organic_content_percent","sediment_nag_umol_g_hr","sediment_lap_umol_g_hr","sediment_glu_umol_g_hr","sediment_ap_umol_g_hr"
"CC-4","hja2016_141",7.501,0.00923,0.44178,0.09119,0.10884
"CC-3","hja2016_140",5.427,0.01186,0.66891,0.17607,0.11498
"CC-2","hja2016_139",4.973,0.00576,0.36724,0.06108,0.10198
"WS1-6","hja2016_180",4.468,0,0.05436,0.01035,0.0203
"KC-1","hja2016_142",6.189,0.00452,0.13394,0.03201,0.04792
"KC-3","hja2016_144",5.552,0,0.05897,0.00751,0.0286
"WS1-2","hja2016_176",5.197,0.00154,0.05325,0.01346,0.01718
"WS1-3","hja2016_177",7.813,0.0087,0.17671,0.02898,0.05733
"WS1-8","hja2016_174",4.918,0,0.09737,0.01517,0.0369
"WS1-5","hja2016_179",6.406,0.0098,0.12098,0.03513,0.03246
"WS3-1","hja2016_167",6.707,0.00263,0.06308,0.00534,0.0154
"WS3-2","hja2016_169",9.152,0.01607,0.22088,0.01745,0.04763
"WS3-3","hja2016_170",7.118,0.01413,0.27503,0.02585,0.06419
"WS3-4","hja2016_168",11.17,0.01879,0.49007,0.06367,0.13834
"WS3-5","hja2016_171",6.535,0.00357,0.04906,0.00706,0.0188
"45","hja2016_122",2.556,0.00423,0.13821,0.02972,0.05748
"47","hja2016_158",3.827,0.00138,0.02979,0.00742,0.01284
"49","hja2016_159",2.521,0.00814,0.40652,0.06951,0.07679
"50","hja2016_160",3.231,0,0.13684,0.02084,0.03153
"53","hja2016_150",7.695,0.00446,0.13116,0.04423,0.06532
"54","hja2016_123",5.287,0.01503,0.07826,0.01311,0.02667
"56","hja2016_125",5.151,0.00405,0.50317,0.01213,0.06487
"57","hja2016_166",4.101,0.00311,0.01376,0.00358,0.00592
"58","hja2016_126",6.459,0.00184,0.1051,0.01802,0.02352
"60","hja2016_127",10.725,0.00304,0.06883,0.01116,0.0266
"64","hja2016_151",16.259,0.02131,0.62957,0.11842,0.22912
"65","hja2016_161",3.868,0.00338,0.24831,0.02788,0.1344
"66","hja2016_152",3.618,0.05511,0.79892,0.11724,0.23887
"68","hja2016_128",3.888,0,0.10684,0.01565,0.0438
"72","hja2016_129",4.319,0.01645,0.48283,0.05671,0.1256
"74","hja2016_131",5.63,0,0.03317,0.00902,0.01625
"82","hja2016_155",3.498,0.00409,0.02718,0.01387,0.01556
"84","hja2016_132",4.95,0.01007,0.09716,0.01341,0.04529
"155","hja2016_145",5.517,0.00289,0.08866,0.01446,0.03602
"156","hja2016_146",2.811,0.01021,0.48684,0.03326,0.06315
"161","hja2016_133",3.589,0,0.03524,0.006,0.01129
"163","hja2016_147",2.577,0,0.04476,0.0061,0.00927
"165","hja2016_148",3.196,0.0052,0.03371,0.01426,0.01492
"169","hja2016_135",14.571,0.00235,0.14953,0.02886,0.07776
"170","hja2016_149",13.048,0.01203,0.27082,0.05985,0.07207
"177","hja2016_181",7.339,0.00545,0.24444,0.02273,0.10112
"190","hja2016_136",7.594,0.00405,0.08534,0.02131,0.04811
"260","hja2016_164",2.855,0.00632,0.34967,0.07267,0.07026
"360","hja2016_165",2.954,0.00353,0.17373,0.06281,0.03708
