"sample_id","sample_year","run_id","plate","lane_sample","site_code","sample_type","metadata_source","metadata_row","mapping_status","normalization_note","fticr_source_column","planktonic_sample_id","hyporheic_sample_id"
"hja2016_141",2016,"HJA2016_Plate1","Plate1","S30","CC-4","stream sediment","data/hja-env_data_clean.csv",170,"MATCHED",,16,,
"hja2016_140",2016,"HJA2016_Plate1","Plate1","S29","CC-3","stream sediment","data/hja-env_data_clean.csv",169,"MATCHED",,17,,
"hja2016_139",2016,"HJA2016_Plate1","Plate1","S28","CC-2","stream sediment","data/hja-env_data_clean.csv",168,"MATCHED",,18,,
"hja2016_180",2016,"HJA2016_Plate2","Plate2","S50","WS1-6","stream sediment","data/hja-env_data_clean.csv",179,"MATCHED",,20,"hja2016_011","hja2016_014"
"hja2016_142",2016,"HJA2016_Plate1","Plate1","S31","KC-1","stream sediment","data/hja-env_data_clean.csv",171,"MATCHED",,22,,"hja2016_056"
"hja2016_144",2016,"HJA2016_Plate1","Plate1","S32","KC-3","stream sediment","data/hja-env_data_clean.csv",173,"MATCHED",,23,,
"hja2016_176",2016,"HJA2016_Plate2","Plate2","S47","WS1-2","stream sediment","data/hja-env_data_clean.csv",175,"MATCHED",,24,,"hja2016_020"
"hja2016_177",2016,"HJA2016_Plate2","Plate2","S48","WS1-3","stream sediment","data/hja-env_data_clean.csv",176,"MATCHED",,25,,
"hja2016_174",2016,"HJA2016_Plate2","Plate2","S46","WS1-8","stream sediment","data/hja-env_data_clean.csv",181,"MATCHED_NORMALIZED_SITE_CODE","Normalized WS1_S8 to master-data site code WS1-8.",27,,
"hja2016_179",2016,"HJA2016_Plate2","Plate2","S49","WS1-5","stream sediment","data/hja-env_data_clean.csv",178,"MATCHED",,28,"hja2016_114","hja2016_018"
"hja2016_167",2016,"HJA2016_Plate2","Plate2","S41","WS3-1","stream sediment","data/hja-env_data_clean.csv",182,"MATCHED",,30,"hja2016_002","hja2016_008"
"hja2016_169",2016,"HJA2016_Plate2","Plate2","S43","WS3-2","stream sediment","data/hja-env_data_clean.csv",183,"MATCHED",,31,,
"hja2016_170",2016,"HJA2016_Plate2","Plate2","S44","WS3-3","stream sediment","data/hja-env_data_clean.csv",184,"MATCHED",,32,,"hja2016_062"
"hja2016_168",2016,"HJA2016_Plate2","Plate2","S42","WS3-4","stream sediment","data/hja-env_data_clean.csv",185,"MATCHED",,33,"hja2016_064",
"hja2016_171",2016,"HJA2016_Plate2","Plate2","S45","WS3-5","stream sediment","data/hja-env_data_clean.csv",186,"MATCHED",,34,,
