"sample_id","sample_year","run_id","plate","lane_sample","site_code_raw","site_code","sample_type_original","sample_type","forward_filename","reverse_filename","forward_path","reverse_path","include","is_control","control_type","metadata_source","metadata_row","mapping_status","normalization_note","biosample_accession","sra_run_accession","soil_Site.Code","soil_date","soil_time","soil_latitude","soil_longitude","soil_elevation_ft","source_pool_role","comparison_warning"
"hja2016_183",2016,"HJA2016_Plate1","Plate1","S56","HJA-2016_soil_01","HJA-2016_soil_01","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate1-hja2016_183_S56_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_183_S56_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_183_S56_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_183_S56_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",2,"MATCHED",,,,"HJA-2016_soil_01","2016-08-17","9:41",44.20633333,-122.2562167,1431,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_184",2016,"HJA2016_Plate1","Plate1","S57","HJA-2016_soil_03","HJA-2016_soil_03","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate1-hja2016_184_S57_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_184_S57_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_184_S57_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_184_S57_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",4,"MATCHED",,,,"HJA-2016_soil_03","2016-08-17","9:59",44.20573333,-122.2543833,1528,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_185",2016,"HJA2016_Plate1","Plate1","S58","HJA-2016_soil_04","HJA-2016_soil_04","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate1-hja2016_185_S58_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_185_S58_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_185_S58_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_185_S58_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",5,"MATCHED",,,,"HJA-2016_soil_04","2016-08-17","10:30",,,,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_188",2016,"HJA2016_Plate1","Plate1","S59","HJA-2016_soil_07","HJA-2016_soil_07","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate1-hja2016_188_S59_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_188_S59_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_188_S59_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_188_S59_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",8,"MATCHED",,,,"HJA-2016_soil_07","2016-08-17","11:37",44.22953333,-122.1241,3202,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_189",2016,"HJA2016_Plate1","Plate1","S60","HJA-2016_soil_08","HJA-2016_soil_08","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate1-hja2016_189_S60_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_189_S60_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_189_S60_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_189_S60_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",9,"MATCHED",,,,"HJA-2016_soil_08","2016-08-17","11:49",44.22295,-122.1162,3476,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_190",2016,"HJA2016_Plate1","Plate1","S61","HJA-2016_soil_09","HJA-2016_soil_09","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate1-hja2016_190_S61_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_190_S61_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_190_S61_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_190_S61_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",10,"MATCHED",,,,"HJA-2016_soil_09","2016-08-17","12:01",44.20748333,-122.1172167,4024,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_191",2016,"HJA2016_Plate1","Plate1","S62","HJA-2016_soil_10","HJA-2016_soil_10","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate1-hja2016_191_S62_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_191_S62_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_191_S62_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_191_S62_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",11,"MATCHED",,,,"HJA-2016_soil_10","2016-08-17","12:55",44.27668333,-122.1362333,4441,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_193",2016,"HJA2016_Plate2","Plate2","S52","HJA-2016_soil_12","HJA-2016_soil_12","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate2-hja2016_193_S52_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_193_S52_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_193_S52_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_193_S52_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",13,"MATCHED",,,,"HJA-2016_soil_12","2016-08-17","13:34",44.25155,-122.155,3774,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_194",2016,"HJA2016_Plate2","Plate2","S53","HJA-2016_soil_13","HJA-2016_soil_13","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate2-hja2016_194_S53_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_194_S53_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_194_S53_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_194_S53_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",14,"MATCHED",,,,"HJA-2016_soil_13","2016-08-17","14:00",44.23111667,-122.1737667,2363,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
"hja2016_195",2016,"HJA2016_Plate2","Plate2","S54","HJA-2016_soil_14","HJA-2016_soil_14","Terrestrial soil","terrestrial soil","GSF2238-Lennon-Plate2-hja2016_195_S54_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate2-hja2016_195_S54_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_195_S54_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate2-hja2016_195_S54_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-synoptic_env-data-soils.csv",15,"MATCHED",,,,"HJA-2016_soil_14","2016-08-17","14:05",44.23206667,-122.1835333,2102,"regional terrestrial source pool","Regional soil context only; not spatially paired to aquatic site_code."
