"site_code","sediment_sample_id","planktonic_sample_id","hyporheic_sample_id","has_planktonic_sequence","has_hyporheic_sequence","source_comparison_scope"
"CC-4","hja2016_141",,,FALSE,FALSE,"sediment only"
"CC-3","hja2016_140",,,FALSE,FALSE,"sediment only"
"CC-2","hja2016_139",,,FALSE,FALSE,"sediment only"
"WS1-6","hja2016_180","hja2016_011","hja2016_014",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"KC-1","hja2016_142",,"hja2016_056",FALSE,TRUE,"sediment + same-site hyporheic"
"KC-3","hja2016_144",,,FALSE,FALSE,"sediment only"
"WS1-2","hja2016_176",,"hja2016_020",FALSE,TRUE,"sediment + same-site hyporheic"
"WS1-3","hja2016_177",,,FALSE,FALSE,"sediment only"
"WS1-8","hja2016_174",,,FALSE,FALSE,"sediment only"
"WS1-5","hja2016_179","hja2016_114","hja2016_018",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"WS3-1","hja2016_167","hja2016_002","hja2016_008",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"WS3-2","hja2016_169",,,FALSE,FALSE,"sediment only"
"WS3-3","hja2016_170",,"hja2016_062",FALSE,TRUE,"sediment + same-site hyporheic"
"WS3-4","hja2016_168","hja2016_064",,TRUE,FALSE,"sediment + same-site planktonic"
"WS3-5","hja2016_171",,,FALSE,FALSE,"sediment only"
"45","hja2016_122",,,FALSE,FALSE,"sediment only"
"47","hja2016_158",,"hja2016_015",FALSE,TRUE,"sediment + same-site hyporheic"
"49","hja2016_159",,"hja2016_066",FALSE,TRUE,"sediment + same-site hyporheic"
"50","hja2016_160","hja2016_001","hja2016_005",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"53","hja2016_150","hja2016_116",,TRUE,FALSE,"sediment + same-site planktonic"
"54","hja2016_123",,"hja2016_032",FALSE,TRUE,"sediment + same-site hyporheic"
"56","hja2016_125","hja2016_119","hja2016_070",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"57","hja2016_166",,"hja2016_107",FALSE,TRUE,"sediment + same-site hyporheic"
"58","hja2016_126","hja2016_101",,TRUE,FALSE,"sediment + same-site planktonic"
"60","hja2016_127",,"hja2016_009",FALSE,TRUE,"sediment + same-site hyporheic"
"64","hja2016_151","hja2016_100","hja2016_079",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"65","hja2016_161",,,FALSE,FALSE,"sediment only"
"66","hja2016_152",,,FALSE,FALSE,"sediment only"
"68","hja2016_128",,"hja2016_065",FALSE,TRUE,"sediment + same-site hyporheic"
"72","hja2016_129",,,FALSE,FALSE,"sediment only"
"74","hja2016_131",,"hja2016_016",FALSE,TRUE,"sediment + same-site hyporheic"
"82","hja2016_155",,,FALSE,FALSE,"sediment only"
"84","hja2016_132",,"hja2016_121",FALSE,TRUE,"sediment + same-site hyporheic"
"155","hja2016_145",,"hja2016_019",FALSE,TRUE,"sediment + same-site hyporheic"
"156","hja2016_146","hja2016_044","hja2016_021",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"161","hja2016_133",,"hja2016_031",FALSE,TRUE,"sediment + same-site hyporheic"
"163","hja2016_147",,"hja2016_052",FALSE,TRUE,"sediment + same-site hyporheic"
"165","hja2016_148","hja2016_042","hja2016_050",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"169","hja2016_135","hja2016_109",,TRUE,FALSE,"sediment + same-site planktonic"
"170","hja2016_149","hja2016_106",,TRUE,FALSE,"sediment + same-site planktonic"
"177","hja2016_181",,"hja2016_084",FALSE,TRUE,"sediment + same-site hyporheic"
"190","hja2016_136","hja2016_030","hja2016_040",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"260","hja2016_164","hja2016_103","hja2016_075",TRUE,TRUE,"sediment + same-site planktonic + same-site hyporheic"
"360","hja2016_165",,"hja2016_080",FALSE,TRUE,"sediment + same-site hyporheic"
