"issue_type","sample_id","site_code","detail","action"
"NORMALIZED_SITE_CODE","hja2016_174","WS1-8","Sequence sample list used WS1_S8; master metadata uses WS1-8.","Automatically normalized to WS1-8."
"UNRESOLVED_SOIL_SITE","hja2016_200",,"The local CSV and original Numbers sheet omit this library. NCBI SAMN12129905 confirms soil metagenome but does not identify the site.","Keep in DADA2; do not attach site-level environmental metadata until identity is confirmed."
"SOIL_METADATA_WITHOUT_SEQUENCE",,"HJA-2016_soil_05","Soil metadata row has no mapped FASTQ library.","Retain metadata; exclude from sequence analyses unless a library is identified."
"SOIL_METADATA_WITHOUT_SEQUENCE",,"HJA-2016_soil_06","Soil metadata row has no mapped FASTQ library.","Retain metadata; exclude from sequence analyses unless a library is identified."
"SOIL_METADATA_WITHOUT_SEQUENCE",,"HJA-2016_soil_11","Soil metadata row has no mapped FASTQ library.","Retain metadata; exclude from sequence analyses unless a library is identified."
"INCOMPLETE_AQUATIC_TRIPLET",,"155","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"160","Missing: stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"161","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"162","Missing: hyporheic water; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"163","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"164","Missing: stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"169","Missing: hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"170","Missing: hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"177","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"178","Missing: hyporheic water; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
