"site_code","planktonic_streamwater","hyporheic_water","stream_sediment","sample_type_count","complete_triplet","missing_sample_types"
"155",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"156",TRUE,TRUE,TRUE,3,TRUE,""
"160",TRUE,TRUE,FALSE,2,FALSE,"stream sediment"
"161",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"162",TRUE,FALSE,FALSE,1,FALSE,"hyporheic water; stream sediment"
"163",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"164",TRUE,TRUE,FALSE,2,FALSE,"stream sediment"
"165",TRUE,TRUE,TRUE,3,TRUE,""
"169",TRUE,FALSE,TRUE,2,FALSE,"hyporheic water"
"170",TRUE,FALSE,TRUE,2,FALSE,"hyporheic water"
"177",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"178",TRUE,FALSE,FALSE,1,FALSE,"hyporheic water; stream sediment"
"190",TRUE,TRUE,TRUE,3,TRUE,""
"192",TRUE,TRUE,FALSE,2,FALSE,"stream sediment"
"260",TRUE,TRUE,TRUE,3,TRUE,""
"360",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"43",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"45",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"47",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"49",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"50",TRUE,TRUE,TRUE,3,TRUE,""
"53",TRUE,FALSE,TRUE,2,FALSE,"hyporheic water"
"54",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"56",TRUE,TRUE,TRUE,3,TRUE,""
"57",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"58",TRUE,FALSE,TRUE,2,FALSE,"hyporheic water"
"60",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"64",TRUE,TRUE,TRUE,3,TRUE,""
"65",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"66",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"67",TRUE,FALSE,FALSE,1,FALSE,"hyporheic water; stream sediment"
"68",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"71",FALSE,TRUE,FALSE,1,FALSE,"planktonic streamwater; stream sediment"
"72",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"73",FALSE,TRUE,FALSE,1,FALSE,"planktonic streamwater; stream sediment"
"74",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"76",FALSE,TRUE,FALSE,1,FALSE,"planktonic streamwater; stream sediment"
"82",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"84",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"CC-1",FALSE,TRUE,FALSE,1,FALSE,"planktonic streamwater; stream sediment"
"CC-2",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"CC-3",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"CC-4",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"KC-1",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"KC-2",TRUE,TRUE,FALSE,2,FALSE,"stream sediment"
"KC-3",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"WS1-2",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"WS1-3",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"WS1-4",TRUE,FALSE,FALSE,1,FALSE,"hyporheic water; stream sediment"
"WS1-5",TRUE,TRUE,TRUE,3,TRUE,""
"WS1-6",TRUE,TRUE,TRUE,3,TRUE,""
"WS1-7",FALSE,TRUE,FALSE,1,FALSE,"planktonic streamwater; stream sediment"
"WS1-8",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"WS3-1",TRUE,TRUE,TRUE,3,TRUE,""
"WS3-2",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"WS3-3",FALSE,TRUE,TRUE,2,FALSE,"planktonic streamwater"
"WS3-4",TRUE,FALSE,TRUE,2,FALSE,"hyporheic water"
"WS3-5",FALSE,FALSE,TRUE,1,FALSE,"planktonic streamwater; hyporheic water"
"WS3-6",TRUE,FALSE,FALSE,1,FALSE,"hyporheic water; stream sediment"
