Site Code,Date,Time_HH:MM,Stream_Centerline_UTM_Zone_10N_X_m,Stream_Centerline_UTM_Zone_10N_Y_m,Segment_Number,Drainage_area_ha,Valley_Slope_m/m,Stream_Slope_m/m,Valley_Width_m,Segment_Valley_Avg_Slope_m/m,Segment_Stream_Avg_Slope_m/m,Segment_Valley_Avg_Width_m,Stream_Order,Segment_Sinuosity_m/m, Valley_Distance_to_outlet_m
43,2016-07-29,16:00,567346.131940859,4898257.730497900,538,7.8,-0.079864539,-0.07120593,18.44272312,-0.12478134,-0.109690618,11.89373021,1,1.170680147,334.6174096
45,2016-07-29,10:00,565977.192397151,4897892.746616640,390,193.2,-0.087352362,-0.076092921,12.00340046,-0.080386604,-0.070915098,14.73297921,3,1.147697678,429.7755376
47,2016-07-27,9:47,563254.312647320,4898130.736106340,134,1550.1,-0.02915982,-0.024029369,45.82483798,-0.031518728,-0.027493905,68.10247296,4,1.197246634,256.4510978
49,2016-07-27,12:01,563281.311454976,4898046.739815850,40,3399.1,-0.016483271,-0.01550516,210.7908365,-0.027490745,-0.023685985,165.254802,5,1.17152693,548.1831477
50,2016-07-27,14:20,563054.321479503,4898132.736018020,41,4956.4,-0.011792019,-0.01085362,206.0407493,-0.020276645,-0.017390871,170.0788896,5,1.177412319,429.638789
53,2016-07-28,11:00,568092.098996817,4898223.731999370,78,280.7,-0.060469765,-0.052193195,30.0360331,-0.120222194,-0.1007112,24.42247108,3,1.166173214,341.3601101
54,2016-07-29,11:35,561802.376768968,4897363.769977760,363,207.7,-0.072160546,-0.063155211,10.45758099,-0.206420831,-0.183452868,17.46528564,3,1.173722731,360.292001
55,2016-07-28,11:45,562501.345900489,4897814.750061190,42,5152.9,-0.005990957,-0.004970782,55.48956642,-0.020097899,-0.016208155,102.1295252,5,1.267660529,346.620322
56,2016-07-27,15:30,562839.330974100,4897811.750193670,321,99.5,-0.078069378,-0.070271379,9.158894105,-0.132619694,-0.116311539,12.8350441,3,1.156806873,740.5470238
57,2016-07-27,16:30,563668.294364702,4898599.715394870,131,1488.8,-0.033512753,-0.030026599,39.53345852,-0.033591322,-0.029651347,31.83417604,4,1.244666838,83.20617667
58,2016-07-28,15:00,566998.147308857,4898497.719899280,385,67.2,-0.117626837,-0.108520244,13.66327824,-0.097847311,-0.082468256,18.5428243,3,1.194522152,974.246413
60,2016-07-27,9:00,567391.129953618,4898693.711243740,316,43.1,-0.043237492,-0.036031856,14.09509403,-0.061083346,-0.056212865,9.660125633,2,1.116434128,144.250975
64,2016-07-28,12:30,570527.991420830,4895508.851896250,163,33.5,-0.168028279,-0.157001138,8.506642224,-0.168583943,-0.149873133,21.60975689,2,1.147515328,1003.388888
65,2016-07-29,10:40,569840.021803539,4897845.748692200,88,73.9,-0.300355637,-0.290661364,7.543521331,-0.225084748,-0.201625645,11.20860417,2,1.127108956,1169.543448
66,2016-07-28,9:21,567970.104384448,4898153.735090640,79,1360.7,-0.115484583,-0.103557939,37.82663766,-0.070918875,-0.060527918,30.49480502,4,1.179095483,153.3509319
67,2016-07-29,13:24,567119.141965387,4897968.743260410,83,1558.1,-0.006505026,-0.005606863,40.80185446,-0.061922288,-0.051981122,38.27376157,4,1.242354947,187.9016014
68,2016-07-28,9:45,565145.229139031,4897899.746307510,30,3032.2,-0.029596739,-0.026594973,70.67868985,-0.033739218,-0.028128782,103.4146844,5,1.214742628,456.9712596
