date,time,watershed,Site.Code,latitude,longitude,centerline_UTMx,centerline_UTMy,valley5m_UTMx,valley5m_UTMy,drainage_area_m2,drainage_area_ha,temp_SW_degC,DO_SW_mgl,DO_SW_perc,DO_SW_press_mbar,NPOC_SW_mgl,TDN_SW_mgl,temp_HZ_degC,DO_HZ_mgl,DO_HZ_perc,DO_HZ_press_mbar,NPOC_HZ_mgl,TDN_HZ_mgl,hydro_cond_1_mps,hydro_cond_2_mps,hydro_cond_3_mps,sed_percent_organic_content
29-Jul-16,15:20,Kerry Creek,Kerry Creek 2,44.220288,-122.222982,561995.3682,4896630.802,561994.9093,4896635.906,1137180.4,113.7,13.6,9.21,88.6,931.8,1.542,0,16.2,8.97,91.3,931.8,1.814,0,3.57E-05,4.45E-05,4.05E-05,5.984307296
26-Jul-16,9:50,WS01,WS1_S2,44.206727,-122.25714,559354.4849,4895103.87,559354.0229,4895103.947,936499.3,93.6,13.9,7.48,NA,NA,1.209,0,18.7,8.33,89.4,963.7742974,A,0.03941,2.81E-05,2.99E-05,3.02E-05,5.197099293
27-Jul-16,8:30,WS03,WS3_S2,44.219101,-122.241931,560554.4319,4896487.809,560554.568,4896489.365,956834.4,95.7,15.2,9.32,92.7,961.2,2.679,0.2688,15.6,8.99,90.2,960.8,6.147,0.04903,7.79E-05,9.32E-05,9.24E-05,9.152324272
26-Jul-16,10:00,WS01,WS1_S3,44.206385,-122.25651,559404.4827,4895069.871,559402.8519,4895070.351,921227.6,92.1,14.3,8.55,83.4,964.7208864,1.307,0,14.3,8.55,89.7,963.920952,2.689,0,2.84E-04,2.87E-04,3.04E-04,7.813468932
27-Jul-16,10:30,WS03,WS3_S3,44.218216,-122.241228,560639.4281,4896408.812,560638.1384,4896410.993,933843.5,93.4,14.8,9.47,93.7,959.5,2.609,0.02382,19,5.24,56.5,958.7,3.144,0.03656,2.84E-04,2.86E-04,3.04E-04,7.11762397
26-Jul-16,10:20,WS01,WS1_250m,44.206277,-122.255881,559453.4805,4895042.872,559457.9301,4895045.11,897968.7,89.8,14.8,8.84,87.3,721.3,2.383,0,17.3,6.1,63.8,961.5,2.953,0.1876,5.11E-05,9.15E-05,1.46E-04,4.750359876
27-Jul-16,12:15,WS03,WS3_S4,44.218016,-122.24034,560692.4258,4896348.815,560696.6825,4896346.227,812531.9,81.3,18.1,9.13,96.7,956,2.637,0,NA,NA,NA,NA,NA,NA,,,,11.17016927
26-Jul-16,12:35,WS01,WS1_S5,44.205884,-122.255186,559517.4777,4895016.874,559513.4177,4895019.835,878556.4,87.9,15.7,8.58,86.1,960.6,2.015,0,18.5,7.71,82.1,960.3212472,1.973,0,3.24E-05,2.58E-05,2.19E-05,6.4055541
27-Jul-16,13:15,WS03,WS3_S5,44.217943,-122.240575,560676.4265,4896350.815,560677.1774,4896344.815,101723,10.2,15.3,8.74,87.7,955.8,3.036,0.02239,NA,NA,NA,NA,NA,NA,,,,6.53472408
26-Jul-16,14:28,WS01,WS1_S6,44.205668,-122.253622,559631.4726,4894993.875,559627.8459,4894996.435,826897.2,82.7,14.8,7.86,77.4,7.86,1.721,0,18.5,5.2,56.1,957.3,A,0,1.63E-04,1.98E-04,1.98E-04,4.468495499
