Site.Code,date,time,latitude,longitude,elevation_ft
HJA-2016_soil_01,2016-08-17,9:41,44.20633333,-122.2562167,1431
HJA-2016_soil_18,2016-08-17,9:46,44.20625,-122.2557833,1648
HJA-2016_soil_03,2016-08-17,9:59,44.20573333,-122.2543833,1528
HJA-2016_soil_04,2016-08-17,10:30,NA,NA,
HJA-2016_soil_05,2016-08-17,10:43,44.22023333,-122.22335,2411
HJA-2016_soil_06,2016-08-17,11:24,44.23185,-122.1623667,2528
HJA-2016_soil_07,2016-08-17,11:37,44.22953333,-122.1241,3202
HJA-2016_soil_08,2016-08-17,11:49,44.22295,-122.1162,3476
HJA-2016_soil_09,2016-08-17,12:01,44.20748333,-122.1172167,4024
HJA-2016_soil_10,2016-08-17,12:55,44.27668333,-122.1362333,4441
HJA-2016_soil_11,2016-08-17,13:02,44.277,-122.1368,4467
HJA-2016_soil_12,2016-08-17,13:34,44.25155,-122.155,3774
HJA-2016_soil_13,2016-08-17,14:00,44.23111667,-122.1737667,2363
HJA-2016_soil_14,2016-08-17,14:05,44.23206667,-122.1835333,2102
HJA-2016_soil_19,2016-08-17,14:44,44.25603333,-122.1681333,2917
HJA-2016_soil_16,2016-08-17,15:43,44.2227,-122.2411167,1556
HJA-2016_soil_17,2016-08-17,16:22,44.20523333,-122.2612,1344
