"sample_id","sample_year","run_id","plate","lane_sample","site_code_raw","site_code","sample_type_original","sample_type","forward_filename","reverse_filename","forward_path","reverse_path","include","is_control","control_type","metadata_source","metadata_row","mapping_status","normalization_note","biosample_accession","sra_run_accession","forward_file","reverse_file"
"hja2016_001",2016,"HJA2016_Plate1","Plate1","S1","50","50","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_001_S1_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_001_S1_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_001_S1_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_001_S1_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",6,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_001_S1_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_001_S1_L001_R2_001.fastq.gz"
"hja2016_002",2016,"HJA2016_Plate1","Plate1","S2","WS3-1","WS3-1","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_002_S2_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_002_S2_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_002_S2_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_002_S2_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",58,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_002_S2_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_002_S2_L001_R2_001.fastq.gz"
"hja2016_003",2016,"HJA2016_Plate1","Plate1","S3","WS1-7","WS1-7","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_003_S3_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_003_S3_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_003_S3_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_003_S3_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",118,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_003_S3_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_003_S3_L001_R2_001.fastq.gz"
"hja2016_005",2016,"HJA2016_Plate1","Plate1","S4","50","50","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_005_S4_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_005_S4_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_005_S4_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_005_S4_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",68,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_005_S4_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_005_S4_L001_R2_001.fastq.gz"
"hja2016_008",2016,"HJA2016_Plate1","Plate1","S5","WS3-1","WS3-1","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_008_S5_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_008_S5_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_008_S5_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_008_S5_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",120,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_008_S5_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_008_S5_L001_R2_001.fastq.gz"
"hja2016_009",2016,"HJA2016_Plate1","Plate1","S6","60","60","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_009_S6_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_009_S6_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_009_S6_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_009_S6_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",75,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_009_S6_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_009_S6_L001_R2_001.fastq.gz"
"hja2016_010",2016,"HJA2016_Plate1","Plate1","S7","164","164","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_010_S7_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_010_S7_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_010_S7_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_010_S7_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",33,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_010_S7_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_010_S7_L001_R2_001.fastq.gz"
"hja2016_011",2016,"HJA2016_Plate1","Plate1","S8","WS1-6","WS1-6","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_011_S8_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_011_S8_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_011_S8_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_011_S8_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",55,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_011_S8_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_011_S8_L001_R2_001.fastq.gz"
"hja2016_013",2016,"HJA2016_Plate1","Plate1","S9","WS1-4","WS1-4","Stream","planktonic streamwater","GSF2238-Lennon-Plate1-hja2016_013_S9_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_013_S9_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_013_S9_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_013_S9_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",53,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_013_S9_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_013_S9_L001_R2_001.fastq.gz"
"hja2016_014",2016,"HJA2016_Plate1","Plate1","S10","WS1-6","WS1-6","Hyporheic","hyporheic water","GSF2238-Lennon-Plate1-hja2016_014_S10_L001_R1_001.fastq.gz","GSF2238-Lennon-Plate1-hja2016_014_S10_L001_R2_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_014_S10_L001_R1_001.fastq.gz","sequences/GSF2238-Lennon-Plate1-hja2016_014_S10_L001_R2_001.fastq.gz",TRUE,FALSE,,"data/hja-env_data_clean.csv",117,"MATCHED",,,,"/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_014_S10_L001_R1_001.fastq.gz","/mnt/scratch/wisnoskilab/GitHub/hja-synoptic/sequences/GSF2238-Lennon-Plate1-hja2016_014_S10_L001_R2_001.fastq.gz"
