"sequence_length","asv_count","total_abundance"
240,358,15096
241,7,284
242,5,73
243,4,82
244,8,179
245,25,798
246,4,103
247,9,113
248,13,468
249,12,243
250,15,453
251,97,2366
252,943,68442
253,67861,15139790
254,5834,968670
255,385,12226
256,107,1853
257,111,4605
258,23,464
259,10,275
260,8,82
261,9,86
262,7,95
263,8,199
264,6,120
265,9,78
266,1,7
267,3,150
268,3,73
269,3,66
271,7,125
272,9,2402
273,17,1485
274,18,499
276,2,11
277,5,51
278,4,162
279,2,16
280,4,43
281,3,74
285,2,16
286,5,23
288,1,4
289,2,51
290,2,14
291,3,90
292,1,5
293,3,18
294,2,12
295,1,48
296,1,8
297,2,5
298,1,3
300,1,7
301,3,14
302,3,21
303,3,23
305,1,37
306,2,212
308,1,3
311,1,5
314,1,60
321,1,12
322,1,11
328,1,60
330,1,14
332,1,4
337,2,5
346,1,24
348,1,3
363,1,14
370,1,11
371,2,19
384,1,11
394,1,110
401,1,4
405,1,9
412,1,16
418,1,107
