"sample_id","run_id","input","filtered","denoised_forward","denoised_reverse","merged","nonchim","filter_retention","merge_retention","final_retention","qc_flag"
"hja2016_123","HJA2016_Plate2",1512,294,280,276,276,276,0.194444444444444,0.938775510204082,0.182539682539683,"LOW_FINAL_RETENTION"
"hja2016_001","HJA2016_Plate1",18785,16238,16113,15874,15228,15203,0.864413095554964,0.93780022170218,0.809315943571999,"OK"
"hja2016_002","HJA2016_Plate1",11479,8892,8791,8614,7691,7691,0.774631936579841,0.86493477282951,0.670006098092168,"OK"
"hja2016_003","HJA2016_Plate1",9141,7691,7436,7290,6589,6567,0.841374029099661,0.856715641659082,0.71841155234657,"OK"
"hja2016_005","HJA2016_Plate1",14942,13368,13288,13048,12576,12557,0.894659349484674,0.940754039497307,0.84038281354571,"OK"
"hja2016_008","HJA2016_Plate1",28746,24802,24534,24062,22897,22897,0.862798302372504,0.923191678090477,0.796528212620886,"OK"
"hja2016_009","HJA2016_Plate1",37248,30948,30706,30068,28399,28180,0.830863402061856,0.917636034638749,0.756550687285223,"OK"
"hja2016_010","HJA2016_Plate1",17815,15295,15217,14958,14451,14451,0.858546168958743,0.944818568159529,0.811170362054448,"OK"
"hja2016_011","HJA2016_Plate1",178769,155967,155392,154058,149298,148270,0.872449921406955,0.957240954817365,0.829394358082218,"OK"
"hja2016_013","HJA2016_Plate1",32783,27829,27339,26698,25016,24949,0.848885092883507,0.898918394480578,0.761034682609889,"OK"
"hja2016_014","HJA2016_Plate1",29738,26146,25824,25216,23466,23257,0.879211782904028,0.897498661363115,0.782063353285359,"OK"
"hja2016_015","HJA2016_Plate1",15265,13228,13099,12866,12438,12268,0.866557484441533,0.940278197762322,0.803668522764494,"OK"
"hja2016_016","HJA2016_Plate1",17650,14155,14059,13883,13284,13284,0.801983002832861,0.93846697280113,0.752634560906516,"OK"
"hja2016_018","HJA2016_Plate1",53725,46581,45800,44590,41289,41082,0.867026523964635,0.886391447156566,0.764671940437413,"OK"
