"sample_id","run_id","input","filtered","denoised_forward","denoised_reverse","merged","nonchim"
"hja2016_001","HJA2016_Plate1",18785,16238,16113,15874,15228,15203
"hja2016_002","HJA2016_Plate1",11479,8892,8791,8614,7691,7691
"hja2016_003","HJA2016_Plate1",9141,7691,7436,7290,6589,6567
"hja2016_005","HJA2016_Plate1",14942,13368,13288,13048,12576,12557
"hja2016_008","HJA2016_Plate1",28746,24802,24534,24062,22897,22897
"hja2016_009","HJA2016_Plate1",37248,30948,30706,30068,28399,28180
"hja2016_010","HJA2016_Plate1",17815,15295,15217,14958,14451,14451
"hja2016_011","HJA2016_Plate1",178769,155967,155392,154058,149298,148270
"hja2016_013","HJA2016_Plate1",32783,27829,27339,26698,25016,24949
"hja2016_014","HJA2016_Plate1",29738,26146,25824,25216,23466,23257
"hja2016_015","HJA2016_Plate1",15265,13228,13099,12866,12438,12268
"hja2016_016","HJA2016_Plate1",17650,14155,14059,13883,13284,13284
"hja2016_018","HJA2016_Plate1",53725,46581,45800,44590,41289,41082
"hja2016_019","HJA2016_Plate1",26118,22269,21903,21340,19866,19861
"hja2016_020","HJA2016_Plate1",122347,107197,106560,105254,100643,100353
"hja2016_021","HJA2016_Plate1",41876,37187,37085,36331,35465,35465
"hja2016_027","HJA2016_Plate1",38090,32626,32195,31540,29586,29534
"hja2016_029","HJA2016_Plate1",12197,10367,10202,9907,9217,9217
"hja2016_030","HJA2016_Plate1",9723,7783,7705,7518,7171,7171
"hja2016_031","HJA2016_Plate2",13592,12497,12472,12383,12209,12209
"hja2016_032","HJA2016_Plate2",16742,14632,14535,14496,14275,14201
"hja2016_035","HJA2016_Plate2",34407,32135,31975,31844,30927,30527
"hja2016_037","HJA2016_Plate2",16782,14633,14541,14326,13985,13968
"hja2016_040","HJA2016_Plate2",11244,9963,9921,9905,9824,9607
"hja2016_042","HJA2016_Plate2",14961,13436,13301,13245,12825,12819
"hja2016_043","HJA2016_Plate2",22757,20770,20699,20639,20389,20270
"hja2016_044","HJA2016_Plate2",12054,10626,10576,10511,10329,10328
"hja2016_049","HJA2016_Plate2",18077,14259,14130,14111,13817,13815
"hja2016_050","HJA2016_Plate2",56388,49578,49364,48984,48088,48004
"hja2016_052","HJA2016_Plate2",70565,64184,63837,63596,61576,61105
"hja2016_056","HJA2016_Plate2",57844,52615,52194,51896,49226,49037
"hja2016_057","HJA2016_Plate2",21570,14630,14430,14300,13817,13771
"hja2016_059","HJA2016_Plate2",25733,20846,20486,20505,19659,19642
"hja2016_062","HJA2016_Plate2",108081,95085,94509,94254,91168,90648
"hja2016_064","HJA2016_Plate2",27571,23301,23112,22882,22271,22148
"hja2016_065","HJA2016_Plate1",20600,18145,17621,16822,14558,14481
"hja2016_066","HJA2016_Plate1",143251,124797,124297,121999,116728,116149
"hja2016_070","HJA2016_Plate1",42319,34112,33825,32995,31569,31464
"hja2016_071","HJA2016_Plate1",43219,36598,35073,33439,28421,28407
"hja2016_075","HJA2016_Plate1",29475,24280,24052,23483,22180,22114
"hja2016_078","HJA2016_Plate1",26259,22281,22004,21633,20346,20271
"hja2016_079","HJA2016_Plate1",33493,28367,28028,27400,25308,25161
"hja2016_080","HJA2016_Plate1",10227,8818,8717,8432,8075,8009
"hja2016_081","HJA2016_Plate1",13365,10850,10666,10335,9375,9337
"hja2016_084","HJA2016_Plate1",56050,47670,47436,46837,45103,44478
"hja2016_099","HJA2016_Plate2",90371,84374,80581,80706,71493,70870
"hja2016_100","HJA2016_Plate2",102792,95953,90905,91199,81718,80837
"hja2016_101","HJA2016_Plate2",89702,83295,79575,79757,70566,69823
"hja2016_102","HJA2016_Plate2",62601,58305,53651,53941,45233,44648
"hja2016_103","HJA2016_Plate2",94718,87385,81320,81696,70047,69136
"hja2016_105","HJA2016_Plate2",92604,86276,81289,81682,70330,69430
"hja2016_106","HJA2016_Plate2",705421,656146,638560,638815,594809,579943
"hja2016_107","HJA2016_Plate2",737197,685631,663860,664250,606015,594437
"hja2016_109","HJA2016_Plate2",70037,64099,62959,62716,58372,57915
"hja2016_110","HJA2016_Plate2",132403,122857,121650,121422,115165,113718
"hja2016_111","HJA2016_Plate2",93919,87062,81797,82182,72086,71018
"hja2016_114","HJA2016_Plate2",148958,137899,130661,131017,114854,113466
"hja2016_116","HJA2016_Plate2",124929,116526,110123,110584,96267,95287
"hja2016_119","HJA2016_Plate2",716707,668437,644593,645487,584659,569978
