"reads.in","reads.out","sample_id"
18785,16238,"hja2016_001"
11479,8892,"hja2016_002"
9141,7691,"hja2016_003"
14942,13368,"hja2016_005"
28746,24802,"hja2016_008"
37248,30948,"hja2016_009"
17815,15295,"hja2016_010"
178769,155967,"hja2016_011"
32783,27829,"hja2016_013"
29738,26146,"hja2016_014"
15265,13228,"hja2016_015"
17650,14155,"hja2016_016"
53725,46581,"hja2016_018"
26118,22269,"hja2016_019"
122347,107197,"hja2016_020"
41876,37187,"hja2016_021"
38090,32626,"hja2016_027"
12197,10367,"hja2016_029"
9723,7783,"hja2016_030"
20600,18145,"hja2016_065"
143251,124797,"hja2016_066"
42319,34112,"hja2016_070"
43219,36598,"hja2016_071"
29475,24280,"hja2016_075"
26259,22281,"hja2016_078"
33493,28367,"hja2016_079"
10227,8818,"hja2016_080"
13365,10850,"hja2016_081"
56050,47670,"hja2016_084"
92150,82729,"hja2016_127"
1071,816,"hja2016_128"
177991,156940,"hja2016_129"
1188399,1058851,"hja2016_131"
1301499,1141335,"hja2016_132"
106787,94168,"hja2016_133"
169420,148877,"hja2016_135"
180581,159640,"hja2016_136"
206203,181091,"hja2016_139"
271903,235402,"hja2016_140"
209066,183572,"hja2016_141"
844217,734373,"hja2016_142"
612941,535784,"hja2016_144"
174131,155110,"hja2016_145"
177433,152856,"hja2016_146"
176136,153445,"hja2016_147"
156237,140943,"hja2016_148"
818,743,"hja2016_149"
185821,164579,"hja2016_150"
1385561,1200156,"hja2016_151"
1188276,1057399,"hja2016_152"
167712,149922,"hja2016_155"
126267,113320,"hja2016_157"
1941,1636,"hja2016_158"
113953,99028,"hja2016_159"
330438,294592,"hja2016_160"
1140428,990477,"hja2016_183"
105090,92184,"hja2016_184"
75813,64569,"hja2016_185"
78454,68816,"hja2016_188"
202234,181913,"hja2016_189"
55661,46603,"hja2016_190"
72822,62292,"hja2016_191"
