"sample_id","run_id","input","filtered","denoised_forward","denoised_reverse","merged"
"hja2016_001","HJA2016_Plate1",18785,16238,16113,15874,15228
"hja2016_002","HJA2016_Plate1",11479,8892,8791,8614,7691
"hja2016_003","HJA2016_Plate1",9141,7691,7436,7290,6589
"hja2016_005","HJA2016_Plate1",14942,13368,13288,13048,12576
"hja2016_008","HJA2016_Plate1",28746,24802,24534,24062,22897
"hja2016_009","HJA2016_Plate1",37248,30948,30706,30068,28399
"hja2016_010","HJA2016_Plate1",17815,15295,15217,14958,14451
"hja2016_011","HJA2016_Plate1",178769,155967,155392,154058,149298
"hja2016_013","HJA2016_Plate1",32783,27829,27339,26698,25016
"hja2016_014","HJA2016_Plate1",29738,26146,25824,25216,23466
"hja2016_015","HJA2016_Plate1",15265,13228,13099,12866,12438
"hja2016_016","HJA2016_Plate1",17650,14155,14059,13883,13284
"hja2016_018","HJA2016_Plate1",53725,46581,45800,44590,41289
"hja2016_019","HJA2016_Plate1",26118,22269,21903,21340,19866
"hja2016_020","HJA2016_Plate1",122347,107197,106560,105254,100643
"hja2016_021","HJA2016_Plate1",41876,37187,37085,36331,35465
"hja2016_027","HJA2016_Plate1",38090,32626,32195,31540,29586
"hja2016_029","HJA2016_Plate1",12197,10367,10202,9907,9217
"hja2016_030","HJA2016_Plate1",9723,7783,7705,7518,7171
"hja2016_065","HJA2016_Plate1",20600,18145,17621,16822,14558
"hja2016_066","HJA2016_Plate1",143251,124797,124297,121999,116728
"hja2016_070","HJA2016_Plate1",42319,34112,33825,32995,31569
"hja2016_071","HJA2016_Plate1",43219,36598,35073,33439,28421
"hja2016_075","HJA2016_Plate1",29475,24280,24052,23483,22180
"hja2016_078","HJA2016_Plate1",26259,22281,22004,21633,20346
"hja2016_079","HJA2016_Plate1",33493,28367,28028,27400,25308
"hja2016_080","HJA2016_Plate1",10227,8818,8717,8432,8075
"hja2016_081","HJA2016_Plate1",13365,10850,10666,10335,9375
"hja2016_084","HJA2016_Plate1",56050,47670,47436,46837,45103
"hja2016_127","HJA2016_Plate1",92150,82729,81075,80505,70325
"hja2016_128","HJA2016_Plate1",1071,816,757,706,625
"hja2016_129","HJA2016_Plate1",177991,156940,152779,151428,128885
"hja2016_131","HJA2016_Plate1",1188399,1058851,1035411,1032585,904633
"hja2016_132","HJA2016_Plate1",1301499,1141335,1111467,1105884,955446
"hja2016_133","HJA2016_Plate1",106787,94168,89946,89938,73693
"hja2016_135","HJA2016_Plate1",169420,148877,145317,143810,124930
"hja2016_136","HJA2016_Plate1",180581,159640,157105,156030,140172
"hja2016_139","HJA2016_Plate1",206203,181091,173976,173336,142715
"hja2016_140","HJA2016_Plate1",271903,235402,233099,229905,207063
"hja2016_141","HJA2016_Plate1",209066,183572,181482,176635,157498
"hja2016_142","HJA2016_Plate1",844217,734373,731445,725997,685178
"hja2016_144","HJA2016_Plate1",612941,535784,533003,527936,486924
"hja2016_145","HJA2016_Plate1",174131,155110,149370,149408,126454
"hja2016_146","HJA2016_Plate1",177433,152856,151081,147148,133482
"hja2016_147","HJA2016_Plate1",176136,153445,146908,145907,119301
"hja2016_148","HJA2016_Plate1",156237,140943,135743,135422,111953
"hja2016_149","HJA2016_Plate1",818,743,595,527,369
"hja2016_150","HJA2016_Plate1",185821,164579,160595,159696,138948
"hja2016_151","HJA2016_Plate1",1385561,1200156,1167253,1162746,998616
"hja2016_152","HJA2016_Plate1",1188276,1057399,1023181,1021952,854443
"hja2016_155","HJA2016_Plate1",167712,149922,144365,143937,118488
"hja2016_157","HJA2016_Plate1",126267,113320,111005,110361,97206
"hja2016_158","HJA2016_Plate1",1941,1636,1509,1424,1081
"hja2016_159","HJA2016_Plate1",113953,99028,97255,95913,83815
"hja2016_160","HJA2016_Plate1",330438,294592,286084,282312,239684
"hja2016_183","HJA2016_Plate1",1140428,990477,966341,964012,834793
"hja2016_184","HJA2016_Plate1",105090,92184,87367,87055,69977
"hja2016_185","HJA2016_Plate1",75813,64569,62240,59911,46710
"hja2016_188","HJA2016_Plate1",78454,68816,66450,65916,55293
"hja2016_189","HJA2016_Plate1",202234,181913,177435,176654,153848
"hja2016_190","HJA2016_Plate1",55661,46603,44692,44174,35249
"hja2016_191","HJA2016_Plate1",72822,62292,59362,58574,46107
