"sample_id","site_code_raw","site_code","sample_type","habitat","mapping_status","normalization_note","environment_join_status","fticr_profile_available","qc_flag","nonchim","meets_rarefaction_depth"
"hja2016_001","50","50","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",15203,TRUE
"hja2016_002","WS3-1","WS3-1","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",7691,FALSE
"hja2016_003","WS1-7","WS1-7","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",6567,FALSE
"hja2016_005","50","50","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",12557,TRUE
"hja2016_008","WS3-1","WS3-1","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",22897,TRUE
"hja2016_009","60","60","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",28180,TRUE
"hja2016_010","164","164","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",14451,TRUE
"hja2016_011","WS1-6","WS1-6","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",148270,TRUE
"hja2016_013","WS1-4","WS1-4","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",24949,TRUE
"hja2016_014","WS1-6","WS1-6","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",23257,TRUE
"hja2016_015","47","47","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",12268,TRUE
"hja2016_016","74","74","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",13284,TRUE
"hja2016_018","WS1-5","WS1-5","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",41082,TRUE
"hja2016_019","155","155","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",19861,TRUE
"hja2016_020","WS1-2","WS1-2","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",100353,TRUE
"hja2016_021","156","156","hyporheic water","hyporheic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",35465,TRUE
"hja2016_027","WS3-6","WS3-6","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",29534,TRUE
"hja2016_029","192","192","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",9217,FALSE
"hja2016_030","190","190","planktonic streamwater","planktonic","MATCHED",,"MATCHED_AQUATIC_MASTER",TRUE,"OK",7171,FALSE
