"sample_id","estimate","standard_error","lower","upper","model","reasonable","warning","site_code","habitat","nonchim"
"hja2016_001",367.56771050484,2.14361381614341,365.617353414931,375.679680515576,"Negative Binomial",FALSE,"","50","planktonic",15203
"hja2016_002",220.478576098459,2.21491458309526,218.552129362161,229.12663063563,"Negative Binomial",FALSE,"","WS3-1","planktonic",7691
"hja2016_003",424.489730660137,18.8209633181088,417.471749920754,535.910598377477,"Kemp",TRUE,"","WS1-7","hyporheic",6567
"hja2016_005",280.286263594717,0.856944337237516,280.014661991054,285.589066680014,"Kemp",TRUE,"","50","hyporheic",12557
"hja2016_008",825.244214671692,2.25657628532733,822.947080464144,833.113024958803,"Negative Binomial",FALSE,"","WS3-1","hyporheic",22897
"hja2016_009",753.321724524907,3.33475678905305,750.132079742914,765.498221954839,"Negative Binomial",FALSE,"","60","hyporheic",28180
"hja2016_010",259.07807822072,0.282525268519489,259.003220849073,260.892733379683,"Poisson",FALSE,"","164","planktonic",14451
"hja2016_011",1566.70338753509,4.81797435334332,1561.15930886556,1581.9764321278,"Negative Binomial",FALSE,"","WS1-6","planktonic",148270
"hja2016_013",937.82023104615,7.5334059835086,932.184730272068,970.262566864005,"Kemp",TRUE,"","WS1-4","planktonic",24949
"hja2016_014",774.563542234374,2.85572882035626,771.479056790816,784.080539607556,"Negative Binomial",FALSE,"","WS1-6","hyporheic",23257
"hja2016_015",424.513736108609,3.36856429400511,420.82831937236,435.627995269851,"Kemp",TRUE,"","47","hyporheic",12268
"hja2016_016",278.821521532642,2.66005354434839,276.591107327624,289.46791587097,"Negative Binomial",FALSE,"","74","hyporheic",13284
"hja2016_018",1278.54713490452,24.0328271597895,1267.10129742225,1408.95011604585,"Kemp",TRUE,"","WS1-5","hyporheic",41082
"hja2016_019",690.540985087054,5.92089495773124,684.938802704756,712.330708041456,"Kemp",TRUE,"","155","hyporheic",19861
"hja2016_020",1864.01883766114,5.24952750942359,1858.90057550678,1882.92061296049,"Kemp",TRUE,"","WS1-2","hyporheic",100353
"hja2016_021",1135.22954143224,54210.6379742904,411.29660483619,230056.407572244,"Negative Binomial",FALSE,"","156","hyporheic",35465
"hja2016_027",907.827084941847,3.33635829955767,904.05205550028,918.54678390271,"Negative Binomial",FALSE,"","WS3-6","planktonic",29534
"hja2016_029",417.886283980273,124.06422389154,337.093335281826,997.215351924833,"Negative Binomial",FALSE,"","192","planktonic",9217
"hja2016_030",212.943752184361,16.8132690287353,195.516424143544,270.777496473404,"Negative Binomial",FALSE,"","190","planktonic",7171
"hja2016_065",918.107610767471,7.6622208575881,911.693774134769,948.808806326331,"Kemp",TRUE,"","68","hyporheic",14481
"hja2016_066",1447.21413052852,2.93520114618579,1444.6984927724,1458.78989541853,"Negative Binomial",FALSE,"","49","hyporheic",116149
"hja2016_070",702.557744374086,2.07919805353376,700.63324829572,710.330949688123,"Kemp",TRUE,"","56","hyporheic",31464
"hja2016_071",1653.64416885988,7.79650713791978,1644.21488247901,1677.37966971107,"Kemp",TRUE,"","164","hyporheic",28407
"hja2016_075",725.176465049869,1.81726852110855,723.523197209169,732.053947594305,"Negative Binomial",FALSE,"","260","hyporheic",22114
"hja2016_078",788.965327723539,9.21719212044623,785.274397779457,842.303029150506,"Kemp",TRUE,"","CC-1","hyporheic",20271
"hja2016_079",913.286581812285,1.79454055314425,911.588166325176,919.889418112646,"Negative Binomial",FALSE,"","64","hyporheic",25161
"hja2016_080",299.60614477252,0.854347798940055,299.078017371086,303.709354854399,"Kemp",TRUE,"","360","hyporheic",8009
"hja2016_081",444.17198555206,4.40088501670844,439.368340998255,458.718737629784,"Negative Binomial",FALSE,"","160","hyporheic",9337
"hja2016_084",728.900020445486,5.2081242068359,723.433669514362,746.644534999833,"Negative Binomial",FALSE,"","177","hyporheic",44478
"hja2016_127",4587.7469066862,58.2176902068263,4494.18986737245,4725.91848049338,"Kemp",TRUE,"","60","sediment",70047
"hja2016_128",155.57001840703,28.4204511438743,118.007290938673,235.879619512596,"Kemp",TRUE,"","68","sediment",625
"hja2016_129",5529.45854768851,15.5608034036494,5503.09648868792,5564.60681409575,"Negative Binomial",FALSE,"","72","sediment",127706
"hja2016_131",10214.0007391321,35.5985937683703,10214.0000000824,10220.6311104397,"Kemp",TRUE,"","74","sediment",883738
"hja2016_132",8777.05504382338,6.97140099883689,8766.36409736353,8794.32832703327,"Negative Binomial",FALSE,"","84","sediment",919986
"hja2016_133",4053.04432007262,15.9791379969391,4026.21474868937,4089.44416740776,"Negative Binomial",FALSE,"","161","sediment",72059
"hja2016_135",4987.41739330004,35.0566776572193,4928.18156252833,5066.79820150954,"Kemp",TRUE,"","169","sediment",123455
"hja2016_136",5148.10525735342,423.999251610404,4941.57791243792,7427.41546236372,"Kemp",TRUE,"","190","sediment",138898
"hja2016_139",5742.61063121208,18.6707163239657,5711.01397370621,5784.82644166071,"Negative Binomial",FALSE,"","CC-2","sediment",140227
"hja2016_140",5449.92538355282,10.6023057229189,5432.47839510181,5474.53830671675,"Negative Binomial",FALSE,"","CC-3","sediment",205891
"hja2016_141",5024.06933103381,16.2743147116099,4996.50671952515,5060.83964777605,"Negative Binomial",FALSE,"","CC-4","sediment",156782
"hja2016_142",6627.58903605537,10.2664245724111,6611.18973542792,6652.09135581214,"Negative Binomial",FALSE,"","KC-1","sediment",676967
"hja2016_144",6036.00729779134,12.2753600304643,6016.10160421566,6064.89762228411,"Negative Binomial",FALSE,"","KC-3","sediment",480196
"hja2016_145",5746.64646124152,15.9049340494287,5719.78121686048,5782.67304362183,"Negative Binomial",FALSE,"","155","sediment",124377
"hja2016_146",4743.1630704822,10.8401868617915,4725.38195563389,4768.40415362408,"Negative Binomial",FALSE,"","156","sediment",132956
"hja2016_147",4695.42328847552,12.1544737179774,4675.24119931276,4723.40222626221,"Negative Binomial",FALSE,"","163","sediment",116303
"hja2016_148",5282.30934140666,16.6100642476165,5254.21622447771,5319.88646489488,"Negative Binomial",FALSE,"","165","sediment",110482
"hja2016_149",253.71096902166,33.4954618626263,207.83656874838,345.497632317626,"Negative Binomial",FALSE,"","170","sediment",369
"hja2016_150",5809.29119701229,19.0376323114898,5776.53606653948,5851.66562468266,"Negative Binomial",FALSE,"","53","sediment",137116
"hja2016_151",9658.09398374432,7.47609391000707,9646.45273906984,9676.36116625082,"Negative Binomial",FALSE,"","64","sediment",964977
"hja2016_152",8906.58150095084,11.9952856178306,8886.61322766877,8934.1283234977,"Negative Binomial",FALSE,"","66","sediment",799955
"hja2016_155",5424.4706792124,18.2635958756873,5393.61543590712,5465.83236692087,"Negative Binomial",FALSE,"","82","sediment",116837
"hja2016_157",4862.57585842863,21.5322885583284,4825.73286962075,4910.75579947526,"Negative Binomial",FALSE,"","43","sediment",96913
"hja2016_158",336.025972540719,23.1694859132413,302.524296309923,396.556699472247,"Negative Binomial",FALSE,"","47","sediment",1077
"hja2016_159",4724.42950082318,419.49564290763,4473.14445703401,6772.41816621134,"Kemp",TRUE,"","49","sediment",83304
"hja2016_160",4924.75588340045,12.155966603123,4904.74971814974,4952.97228377106,"Negative Binomial",FALSE,"","50","sediment",236788
"hja2016_183",7236.53455116749,6.94027570088707,7225.92848545743,7253.78554858918,"Negative Binomial",FALSE,"","HJA-2016_soil_01","soil",804564
"hja2016_184",2444.29063144166,10.8702538950186,2427.3955265579,2470.89621279778,"Negative Binomial",FALSE,"","HJA-2016_soil_03","soil",68951
"hja2016_185",1306.67868007209,7.20911093703739,1295.96639501574,1325.05834601796,"Negative Binomial",FALSE,"","HJA-2016_soil_04","soil",46147
"hja2016_188",888.116779348951,55.4959265000448,888.000119864089,1001.77399567142,"Kemp",TRUE,"","HJA-2016_soil_07","soil",53759
"hja2016_189",2044.71070432111,5.46090520654105,2037.27422445441,2059.74953865934,"Negative Binomial",FALSE,"","HJA-2016_soil_08","soil",151838
"hja2016_190",1755.21631344608,101.34921300033,1673.19227692465,2170.43420385405,"Kemp",TRUE,"","HJA-2016_soil_09","soil",34900
"hja2016_191",1055.30225833928,3.13370609581381,1051.50837184153,1064.83435897237,"Negative Binomial",FALSE,"","HJA-2016_soil_10","soil",45834
"hja2016_031",244.033133277141,13.4780476219972,239.293856591682,325.206780118362,"Kemp",TRUE,"","161","hyporheic",12209
"hja2016_032",393.686586380845,5.5430387978522,388.620210513675,414.595449511732,"Negative Binomial",FALSE,"","54","hyporheic",14201
"hja2016_035",582.534906416177,8.02123337807573,574.799209919033,611.648420950137,"Negative Binomial",TRUE,"","192","hyporheic",30527
"hja2016_037",382.79022662812,9.54041450061409,381.048722991568,446.778214285974,"Negative Binomial",TRUE,"","43","hyporheic",13968
"hja2016_040",226.524660634738,0.761212966834492,226.065134985456,230.226127935986,"Poisson",FALSE,"","190","hyporheic",9607
"hja2016_042",341.832842946508,2.82724710592269,339.053081278459,351.950191075555,"Negative Binomial",FALSE,"","165","planktonic",12819
"hja2016_043",447.337005296463,7.86241222269609,438.928640893554,473.741565800704,"Negative Binomial",FALSE,"","KC-2","hyporheic",20270
"hja2016_044",180.860482188658,1.9542973720318,179.343261915596,189.083827587766,"Negative Binomial",FALSE,"","156","planktonic",10328
"hja2016_049",280.222211155807,24.8804777596592,254.709898053573,366.508036440005,"Kemp",TRUE,"","67","planktonic",13815
"hja2016_050",882.6634650605,28.3990429056694,875.307826878515,1065.78482365384,"Kemp",TRUE,"","165","hyporheic",48004
"hja2016_052",1413.57734729609,13.6158040851825,1397.60887022149,1456.08299827401,"Negative Binomial",FALSE,"","163","hyporheic",61105
"hja2016_056",1122.84491972561,132.178062905994,1115.07428399228,1943.47950967539,"Kemp",TRUE,"","KC-1","hyporheic",49037
"hja2016_057",487.438599274771,13.2191835089683,474.218388581154,534.15075256055,"Negative Binomial",FALSE,"","71","hyporheic",13771
