"sample_id","site_code","habitat","original_reads","rarefaction_depth","q0","q1","q2"
"hja2016_001","50","planktonic",15203,10000,362,216.854160532137,123.3136853528
"hja2016_005","50","hyporheic",12557,10000,279,113.354384680445,29.3552127519044
"hja2016_008","WS3-1","hyporheic",22897,10000,798,558.230734299693,418.841150305336
"hja2016_009","60","hyporheic",28180,10000,736,521.143557064893,353.754395398362
"hja2016_010","164","planktonic",14451,10000,258,177.061477577604,128.731938908971
"hja2016_011","WS1-6","planktonic",148270,10000,1407,889.992421611905,480.270488339037
"hja2016_013","WS1-4","planktonic",24949,10000,905,652.863212955649,496.317325445198
"hja2016_014","WS1-6","hyporheic",23257,10000,759,529.698971953705,381.3417126819
"hja2016_015","47","hyporheic",12268,10000,419,289.819857926424,210.602576090711
"hja2016_016","74","hyporheic",13284,10000,275,43.203053125451,5.65954850159491
"hja2016_018","WS1-5","hyporheic",41082,10000,1178,415.317117120535,107.632199248727
"hja2016_019","155","hyporheic",19861,10000,675,508.558971479812,403.359175211159
"hja2016_020","WS1-2","hyporheic",100353,10000,1668,1143.83003946936,795.076883934688
"hja2016_021","156","hyporheic",35465,10000,404,222.3379838282,107.495442193251
"hja2016_027","WS3-6","planktonic",29534,10000,866,472.760945801473,196.957402053085
"hja2016_065","68","hyporheic",14481,10000,903,652.451430987801,422.886624096079
"hja2016_066","49","hyporheic",116149,10000,1337,944.188777744524,677.470055823542
"hja2016_070","56","hyporheic",31464,10000,680,460.841890562002,343.208588451717
"hja2016_071","164","hyporheic",28407,10000,1538,1024.14146494621,601.510995621011
"hja2016_075","260","hyporheic",22114,10000,711,498.553386701571,317.081832479326
"hja2016_078","CC-1","hyporheic",20271,10000,776,544.154409239782,342.214952055685
"hja2016_079","64","hyporheic",25161,10000,884,634.873700430497,473.91568092205
"hja2016_084","177","hyporheic",44478,10000,687,432.121582444221,260.144328073215
"hja2016_127","60","sediment",70047,10000,2841,1653.6825310606,810.688112069589
"hja2016_129","72","sediment",127706,10000,3113,1765.20060595182,826.418961356742
"hja2016_131","74","sediment",883738,10000,3723,2125.72435130221,952.326533721976
"hja2016_132","84","sediment",919986,10000,3335,1733.90270635475,693.221678428404
"hja2016_133","161","sediment",72059,10000,2673,1506.98994879349,732.471946324517
"hja2016_135","169","sediment",123455,10000,2788,1412.91583382077,527.337158285556
"hja2016_136","190","sediment",138898,10000,2714,1286.29255054679,486.125964960053
"hja2016_139","CC-2","sediment",140227,10000,3199,1753.91075064012,826.993053258443
"hja2016_140","CC-3","sediment",205891,10000,2888,1446.39605929637,584.980052180267
"hja2016_141","CC-4","sediment",156782,10000,2688,1293.82659468923,529.599305165746
"hja2016_142","KC-1","sediment",676967,10000,3139,1760.29864335449,788.220827947243
"hja2016_144","KC-3","sediment",480196,10000,2936,1570.21663021485,739.743456969193
"hja2016_145","155","sediment",124377,10000,3227,1872.72890784836,947.813394498964
"hja2016_146","156","sediment",132956,10000,2724,1371.13471037346,550.733577124768
"hja2016_147","163","sediment",116303,10000,2892,1639.08880462729,791.239397392152
"hja2016_148","165","sediment",110482,10000,3069,1727.17433896678,832.362244048696
"hja2016_150","53","sediment",137116,10000,3056,1636.53886790201,685.476131721161
"hja2016_151","64","sediment",964977,10000,3691,2117.16453831625,935.436193897311
"hja2016_152","66","sediment",799955,10000,2988,1323.56971450565,411.465062501548
"hja2016_155","82","sediment",116837,10000,3156,1804.92829869501,922.798663787611
"hja2016_157","43","sediment",96913,10000,2861,1551.37266053801,741.498717207284
"hja2016_159","49","sediment",83304,10000,2875,1546.54701846298,731.732303054321
"hja2016_160","50","sediment",236788,10000,2509,1131.00446530323,459.541928605574
"hja2016_183","HJA-2016_soil_01","soil",804564,10000,3042,1360.33959713392,443.762037045261
"hja2016_184","HJA-2016_soil_03","soil",68951,10000,1838,940.394351040657,448.812889906201
"hja2016_185","HJA-2016_soil_04","soil",46147,10000,1093,455.218108260271,181.794383280735
"hja2016_188","HJA-2016_soil_07","soil",53759,10000,762,223.723986368363,62.6129380870739
"hja2016_189","HJA-2016_soil_08","soil",151838,10000,1484,498.624520599261,138.041086549002
"hja2016_190","HJA-2016_soil_09","soil",34900,10000,1402,598.889974825645,183.694538026608
"hja2016_191","HJA-2016_soil_10","soil",45834,10000,944,426.846761867122,187.744772246818
"hja2016_031","161","hyporheic",12209,10000,238,155.488283163496,106.086613354607
"hja2016_032","54","hyporheic",14201,10000,384,287.989840569403,234.964614329082
"hja2016_035","192","hyporheic",30527,10000,544,84.4090464403921,8.35966348676214
"hja2016_037","43","hyporheic",13968,10000,379,270.880522176422,200.932325992606
"hja2016_042","165","planktonic",12819,10000,337,228.193464111478,164.287239810084
"hja2016_043","KC-2","hyporheic",20270,10000,427,296.405223744823,221.736373191186
"hja2016_044","156","planktonic",10328,10000,179,111.161865865183,74.1615297447063
"hja2016_049","67","planktonic",13815,10000,237,134.141665592333,71.3518172594338
"hja2016_050","165","hyporheic",48004,10000,841,383.942707388206,51.2419511705198
"hja2016_052","163","hyporheic",61105,10000,1285,924.043932618555,659.152330103494
"hja2016_056","KC-1","hyporheic",49037,10000,1010,146.658945408407,10.8305540326593
"hja2016_057","71","hyporheic",13771,10000,464,263.73846304362,99.5904839300795
"hja2016_059","KC-2","planktonic",19642,10000,691,364.091486596845,230.186681398614
"hja2016_062","WS3-3","hyporheic",90648,10000,1482,451.448644380524,39.5020529216895
"hja2016_064","WS3-4","planktonic",22148,10000,553,367.618653012178,270.141770401107
"hja2016_099","162","planktonic",70870,10000,3466,2161.53091422655,1206.41814452879
"hja2016_100","64","planktonic",80837,10000,2949,1613.44382179827,794.003684177146
"hja2016_101","58","planktonic",69823,10000,3266,1942.10322496345,996.134996214694
"hja2016_102","73","hyporheic",44648,10000,2855,1693.47359977552,935.488699296562
"hja2016_103","260","planktonic",69136,10000,3062,1779.80839964035,912.825193975428
"hja2016_105","178","planktonic",69430,10000,3020,1732.83743821503,901.615695326102
"hja2016_106","170","planktonic",579943,10000,3453,1800.4837367205,780.883960643545
"hja2016_107","57","hyporheic",594437,10000,4247,2657.82105441558,1382.39929221135
"hja2016_109","169","planktonic",57915,10000,2835,1841.5797412419,1075.19944949783
