"habitat","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL"
"hyporheic",32.0022619490558,"Extrapolation",0,0.5394,22469.1554690658,22077.5595040176,22860.7514341141
"hyporheic",32.0022619490558,"Extrapolation",1,0.5394,17615.1702596789,17325.2355907358,17905.1049286221
"hyporheic",32.0022619490558,"Extrapolation",2,0.5394,11828.3645913936,11625.3199499045,12031.4092328828
"planktonic",5.07970950613123,"Rarefaction",0,0.539399488784011,7229.91710764352,7120.14894327055,7339.68527201649
"planktonic",5.07970950613123,"Rarefaction",1,0.539399488784011,6489.62836266694,6397.97893241528,6581.2777929186
"planktonic",5.07970950613123,"Rarefaction",2,0.539399488784011,5720.46210362896,5646.72299216395,5794.20121509397
"sediment",1.95982359342046,"Rarefaction",0,0.539398453008016,4606.24718888382,4574.96135167369,4637.53302609395
"sediment",1.95982359342046,"Rarefaction",1,0.539398453008016,4372.20725108023,4344.00295742438,4400.41154473608
"sediment",1.95982359342046,"Rarefaction",2,0.539398453008016,4128.31771900608,4103.51189240686,4153.1235456053
"soil",4.21681649843335,"Rarefaction",0,0.539399837373265,6356.42923912087,6257.57514298556,6455.28333525618
"soil",4.21681649843335,"Rarefaction",1,0.539399837373265,5647.59713456444,5568.80621429666,5726.38805483222
"soil",4.21681649843335,"Rarefaction",2,0.539399837373265,4916.52957690945,4857.38691525259,4975.67223856631
