"sample_id","site_code","habitat","reads","observed_asvs","singleton_asvs","goods_coverage","meets_10000_reads"
"hja2016_001","50","planktonic",15203,365,5,0.99967111754259,TRUE
"hja2016_002","WS3-1","planktonic",7691,218,4,0.999479911584969,FALSE
"hja2016_003","WS1-7","hyporheic",6567,417,17,0.997411298918837,FALSE
"hja2016_005","50","hyporheic",12557,280,1,0.999920363144063,TRUE
"hja2016_008","WS3-1","hyporheic",22897,822,8,0.99965060925012,TRUE
"hja2016_009","60","hyporheic",28180,749,6,0.999787083037615,TRUE
"hja2016_010","164","planktonic",14451,259,0,1,TRUE
"hja2016_011","WS1-6","planktonic",148270,1558,13,0.99991232211506,TRUE
"hja2016_013","WS1-4","planktonic",24949,931,12,0.999519018798349,TRUE
"hja2016_014","WS1-6","hyporheic",23257,770,10,0.999570021928882,TRUE
"hja2016_015","47","hyporheic",12268,419,7,0.999429409846756,TRUE
"hja2016_016","74","hyporheic",13284,276,4,0.999698885877748,TRUE
"hja2016_018","WS1-5","hyporheic",41082,1266,12,0.99970790127063,TRUE
"hja2016_019","155","hyporheic",19861,683,8,0.999597200543779,TRUE
"hja2016_020","WS1-2","hyporheic",100353,1857,11,0.999890386934123,TRUE
"hja2016_021","156","hyporheic",35465,409,4,0.99988721274496,TRUE
"hja2016_027","WS3-6","planktonic",29534,902,11,0.999627547910882,TRUE
"hja2016_029","192","planktonic",9217,324,20,0.997830096560703,FALSE
"hja2016_030","190","planktonic",7171,188,15,0.997908241528378,FALSE
"hja2016_065","68","hyporheic",14481,910,15,0.998964159933706,TRUE
"hja2016_066","49","hyporheic",116149,1444,4,0.999965561477068,TRUE
"hja2016_070","56","hyporheic",31464,700,4,0.999872870582253,TRUE
"hja2016_071","164","hyporheic",28407,1638,28,0.999014327454501,TRUE
"hja2016_075","260","hyporheic",22114,723,6,0.999728678665099,TRUE
"hja2016_078","CC-1","hyporheic",20271,785,7,0.999654679098219,TRUE
"hja2016_079","64","hyporheic",25161,911,7,0.999721791661699,TRUE
"hja2016_080","360","hyporheic",8009,299,3,0.999625421400924,FALSE
"hja2016_081","160","hyporheic",9337,437,11,0.998821891399807,FALSE
